MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-0-2;0;2;24000;[1, 0];90.7445;60.65;103.16606321174999;610.6265400000002;[1016, 0]
0-5-0;0;0;9000;[6, 0];83.59200000000001;49.03;73.30578670800001;200.67744;[1236, 0]
0-44-2;0;2;24000;[3, 5, 2, 4, 0];353.4361666666666;228.93000000000004;396.76249999925005;861.2537400000001;[1065, 1204, 1062, 1068, 0]
2-5-0;2;0;9000;[6, 0];83.59200000000001;49.03;73.30578670800001;200.67744;[1236, 0]
2-44-2;2;2;24000;[3, 5, 2, 4, 0];353.4361666666666;228.93000000000004;396.76249999925005;861.2537400000001;[1065, 1204, 1062, 1068, 0]
3-6-2;3;2;24000;[2, 1, 0];190.608;140.31;225.64963159200002;717.5559300000001;[1062, 1016, 0]
