Recipient_ID;Shipment_ID;Loading_Date;Weekday;Weight;Euc_Distance;Freight_Cost;Frequency;Pattern;Pattern_clear
997;[27631];2020-12-10;3;394.0;78.56749418147875;67.88;2;1;[0, 1, 0, 1, 0]
997;[27491];2020-12-08;1;2715.49;78.56749418147875;114.65;2;1;[0, 1, 0, 1, 0]
997;[27041];2020-12-03;3;383.504;78.56749418147875;67.88;2;1;[0, 1, 0, 1, 0]
997;[26821];2020-12-01;1;1460.0;78.56749418147875;93.27;2;1;[0, 1, 0, 1, 0]
997;[26610, 26393, 26275];2020-11-26;3;11093.61;78.56749418147875;375.08000000000004;2;1;[0, 1, 0, 1, 0]
997;[26160, 26027];2020-11-24;1;2764.23;78.56749418147875;184.51999999999998;2;1;[0, 1, 0, 1, 0]
997;[25878];2020-11-19;3;1804.0;78.56749418147875;102.13;2;1;[0, 1, 0, 1, 0]
997;[25662, 25542];2020-11-17;1;7696.44;78.56749418147875;254.99;2;1;[0, 1, 0, 1, 0]
997;[25263];2020-11-12;3;4222.21;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[25025];2020-11-10;1;1502.43;78.56749418147875;95.93;2;1;[0, 1, 0, 1, 0]
997;[24696];2020-11-05;3;1538.63;78.56749418147875;95.93;2;1;[0, 1, 0, 1, 0]
997;[24406];2020-11-03;1;2595.72;78.56749418147875;114.65;2;1;[0, 1, 0, 1, 0]
997;[24150, 24081];2020-10-29;3;8303.25;78.56749418147875;232.16000000000003;2;1;[0, 1, 0, 1, 0]
997;[23832];2020-10-27;1;576.0;78.56749418147875;72.82;2;1;[0, 1, 0, 1, 0]
997;[23531];2020-10-22;3;1311.0;78.56749418147875;91.25;2;1;[0, 1, 0, 1, 0]
997;[23306];2020-10-20;1;1172.0;78.56749418147875;86.2;2;1;[0, 1, 0, 1, 0]
997;[22734];2020-10-13;1;224.0;78.56749418147875;65.88;2;1;[0, 1, 0, 1, 0]
997;[22573];2020-10-08;3;262.2;78.56749418147875;65.88;2;1;[0, 1, 0, 1, 0]
997;[22165];2020-10-06;1;4311.41;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[21949, 21857];2020-10-01;3;11489.91;78.56749418147875;292.49;2;1;[0, 1, 0, 1, 0]
997;[21629];2020-09-29;1;6317.46;78.56749418147875;153.76;2;1;[0, 1, 0, 1, 0]
997;[21400];2020-09-24;3;7203.08;78.56749418147875;161.86;2;1;[0, 1, 0, 1, 0]
997;[21123];2020-09-22;1;691.2;78.56749418147875;75.43;2;1;[0, 1, 0, 1, 0]
997;[20852];2020-09-17;3;4268.95;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[20564];2020-09-15;1;854.0;78.56749418147875;80.92;2;1;[0, 1, 0, 1, 0]
997;[20380];2020-09-10;3;4276.67;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[20122];2020-09-08;1;4632.95;78.56749418147875;138.77;2;1;[0, 1, 0, 1, 0]
997;[19872];2020-09-03;3;1875.35;78.56749418147875;102.13;2;1;[0, 1, 0, 1, 0]
997;[19547];2020-09-01;1;4276.8;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[19240];2020-08-27;3;3331.36;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[19094];2020-08-25;1;2800.16;78.56749418147875;114.65;2;1;[0, 1, 0, 1, 0]
997;[18896];2020-08-20;3;3239.35;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[18604];2020-08-18;1;3088.0;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[18270];2020-08-13;3;5422.14;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[18115];2020-08-11;1;740.0;78.56749418147875;78.12;2;1;[0, 1, 0, 1, 0]
997;[17142];2020-07-28;1;11.0;78.56749418147875;19.41;2;1;[0, 1, 0, 1, 0]
997;[16909, 16810];2020-07-23;3;4230.153;78.56749418147875;197.67000000000002;2;1;[0, 1, 0, 1, 0]
997;[16605];2020-07-21;1;4212.36;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[16416];2020-07-16;3;2453.95;78.56749418147875;108.91;2;1;[0, 1, 0, 1, 0]
997;[16076];2020-07-14;1;3285.6;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[15732];2020-07-09;3;32.375;78.56749418147875;43.02;2;1;[0, 1, 0, 1, 0]
997;[15443];2020-07-07;1;772.375;78.56749418147875;78.12;2;1;[0, 1, 0, 1, 0]
997;[15171];2020-07-02;3;6797.6;78.56749418147875;153.76;2;1;[0, 1, 0, 1, 0]
997;[14881];2020-06-30;1;301.593;78.56749418147875;67.88;2;1;[0, 1, 0, 1, 0]
997;[14717];2020-06-25;3;1332.0;78.56749418147875;91.25;2;1;[0, 1, 0, 1, 0]
997;[14347];2020-06-23;1;3335.49;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[14096];2020-06-18;3;2464.61;78.56749418147875;108.91;2;1;[0, 1, 0, 1, 0]
997;[13796];2020-06-16;1;1449.03;78.56749418147875;93.27;2;1;[0, 1, 0, 1, 0]
997;[13585];2020-06-11;3;4838.19;78.56749418147875;138.77;2;1;[0, 1, 0, 1, 0]
997;[13324];2020-06-09;1;1007.0;78.56749418147875;84.27;2;1;[0, 1, 0, 1, 0]
997;[12910, 12770];2020-06-04;3;3951.56;78.56749418147875;198.8;2;1;[0, 1, 0, 1, 0]
997;[12631];2020-06-02;1;7220.2;78.56749418147875;161.86;2;1;[0, 1, 0, 1, 0]
997;[12337];2020-05-26;1;5525.83;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[12033];2020-05-21;3;6416.65;78.56749418147875;153.76;2;1;[0, 1, 0, 1, 0]
997;[11086];2020-05-07;3;1741.36;78.56749418147875;99.38;2;1;[0, 1, 0, 1, 0]
997;[10848];2020-05-05;1;1070.0;78.56749418147875;84.27;2;1;[0, 1, 0, 1, 0]
997;[10626];2020-04-30;3;3644.24;78.56749418147875;127.03;2;1;[0, 1, 0, 1, 0]
997;[10348];2020-04-28;1;4276.8;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[10162, 10040];2020-04-23;3;2779.0;78.56749418147875;180.53;2;1;[0, 1, 0, 1, 0]
997;[9812];2020-04-21;1;170.0;78.56749418147875;63.95;2;1;[0, 1, 0, 1, 0]
997;[9618, 9491];2020-04-16;3;10789.68;78.56749418147875;288.89;2;1;[0, 1, 0, 1, 0]
997;[9282];2020-04-14;1;2759.73;78.56749418147875;114.65;2;1;[0, 1, 0, 1, 0]
997;[8744];2020-04-02;3;5048.0;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[8360];2020-03-31;1;2245.72;78.56749418147875;108.91;2;1;[0, 1, 0, 1, 0]
997;[8053, 7922];2020-03-26;3;2415.089;78.56749418147875;151.93;2;1;[0, 1, 0, 1, 0]
997;[7708];2020-03-24;1;4406.4;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[7425, 7320];2020-03-19;3;4348.957;78.56749418147875;202.46;2;1;[0, 1, 0, 1, 0]
997;[7033];2020-03-17;1;5507.87;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[6117, 6059];2020-03-05;3;8319.98;78.56749418147875;233.11;2;1;[0, 1, 0, 1, 0]
997;[5791];2020-03-03;1;532.0;78.56749418147875;72.82;2;1;[0, 1, 0, 1, 0]
997;[5288];2020-02-27;3;1024.61;78.56749418147875;84.27;2;1;[0, 1, 0, 1, 0]
997;[5022];2020-02-25;1;8.984;78.56749418147875;19.41;2;1;[0, 1, 0, 1, 0]
997;[4778, 4713];2020-02-20;3;6393.0;78.56749418147875;242.63;2;1;[0, 1, 0, 1, 0]
997;[4414];2020-02-18;1;3069.35;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[3972];2020-02-13;3;3298.61;78.56749418147875;120.68;2;1;[0, 1, 0, 1, 0]
997;[3694];2020-02-11;1;2885.83;78.56749418147875;114.65;2;1;[0, 1, 0, 1, 0]
997;[3389];2020-02-06;3;1621.56;78.56749418147875;96.7;2;1;[0, 1, 0, 1, 0]
997;[2948];2020-02-04;1;7071.05;78.56749418147875;161.86;2;1;[0, 1, 0, 1, 0]
997;[2617];2020-01-30;3;4276.8;78.56749418147875;133.72;2;1;[0, 1, 0, 1, 0]
997;[2390];2020-01-28;1;7185.85;78.56749418147875;161.86;2;1;[0, 1, 0, 1, 0]
997;[1900];2020-01-23;3;93.6;78.56749418147875;54.95;2;1;[0, 1, 0, 1, 0]
997;[1702];2020-01-21;1;5089.16;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[1429, 1247];2020-01-16;3;6677.7;78.56749418147875;232.28000000000003;2;1;[0, 1, 0, 1, 0]
997;[545];2020-01-09;3;5274.38;78.56749418147875;146.08;2;1;[0, 1, 0, 1, 0]
997;[356];2020-01-07;1;1048.15;78.56749418147875;84.27;2;1;[0, 1, 0, 1, 0]
997;[0];2020-01-02;3;13538.0;78.56749418147875;203.79;2;1;[0, 1, 0, 1, 0]
706;[25233];2020-11-13;4;1241.0;101.65627700729944;92.29;2;2;[0, 0, 1, 0, 1]
706;[25082];2020-11-11;2;1332.19;101.65627700729944;94.94;2;2;[0, 0, 1, 0, 1]
706;[24521];2020-11-04;2;167.517;101.65627700729944;66.53;2;2;[0, 0, 1, 0, 1]
706;[24336, 24102];2020-10-30;4;1026.819;101.65627700729944;151.52;2;2;[0, 0, 1, 0, 1]
706;[23957];2020-10-28;2;120.784;101.65627700729944;66.53;2;2;[0, 0, 1, 0, 1]
706;[23792, 23673];2020-10-23;4;4547.08;101.65627700729944;215.24;2;2;[0, 0, 1, 0, 1]
706;[23390, 23248];2020-10-21;2;607.561;101.65627700729944;132.93;2;2;[0, 0, 1, 0, 1]
706;[23142];2020-10-16;4;1475.56;101.65627700729944;97.04;2;2;[0, 0, 1, 0, 1]
706;[22881, 22722];2020-10-14;2;2475.9561109064643;101.65627700729944;184.62;2;2;[0, 0, 1, 0, 1]
706;[22682, 22471];2020-10-09;4;4150.97;101.65627700729944;215.24;2;2;[0, 0, 1, 0, 1]
706;[22190];2020-10-07;2;1600.19;101.65627700729944;100.6;2;2;[0, 0, 1, 0, 1]
706;[22057];2020-10-02;4;94.0;101.65627700729944;57.17;2;2;[0, 0, 1, 0, 1]
706;[21816, 21855];2020-09-30;2;1091.007;101.65627700729944;152.73000000000002;2;2;[0, 0, 1, 0, 1]
706;[21497, 21414];2020-09-25;4;2638.3199999999997;101.65627700729944;187.47;2;2;[0, 0, 1, 0, 1]
706;[21214, 21050];2020-09-23;2;4831.950000000001;101.65627700729944;226.16;2;2;[0, 0, 1, 0, 1]
706;[21002];2020-09-18;4;411.442;101.65627700729944;73.15;2;2;[0, 0, 1, 0, 1]
706;[20607];2020-09-16;2;22.781;101.65627700729944;21.9;2;2;[0, 0, 1, 0, 1]
706;[20185, 20052];2020-09-09;2;82.938;101.65627700729944;89.52;2;2;[0, 0, 1, 0, 1]
706;[19957, 19818];2020-09-04;4;740.487;101.65627700729944;142.29000000000002;2;2;[0, 0, 1, 0, 1]
706;[19688, 19503];2020-09-02;2;2287.29;101.65627700729944;179.07;2;2;[0, 0, 1, 0, 1]
706;[19283];2020-08-28;4;509.208;101.65627700729944;75.76;2;2;[0, 0, 1, 0, 1]
706;[19062];2020-08-26;2;455.63;101.65627700729944;73.15;2;2;[0, 0, 1, 0, 1]
706;[18786];2020-08-21;4;452.63;101.65627700729944;73.15;2;2;[0, 0, 1, 0, 1]
706;[18664, 18550];2020-08-19;2;1186.004;101.65627700729944;154.81;2;2;[0, 0, 1, 0, 1]
706;[18413, 18242];2020-08-14;4;2674.254;101.65627700729944;189.07999999999998;2;2;[0, 0, 1, 0, 1]
706;[18122, 18111];2020-08-12;2;969.188;101.65627700729944;141.36;2;2;[0, 0, 1, 0, 1]
706;[17735];2020-08-05;2;96.567;101.65627700729944;57.17;2;2;[0, 0, 1, 0, 1]
706;[17445];2020-07-31;4;74.469;101.65627700729944;48.85;2;2;[0, 0, 1, 0, 1]
706;[17231, 17137];2020-07-29;2;1240.391;101.65627700729944;154.43;2;2;[0, 0, 1, 0, 1]
706;[17006, 16942];2020-07-24;4;2358.1820000000002;101.65627700729944;183.99;2;2;[0, 0, 1, 0, 1]
706;[16668];2020-07-22;2;646.321;101.65627700729944;78.47;2;2;[0, 0, 1, 0, 1]
706;[16524, 16275];2020-07-17;4;949.8420000000001;101.65627700729944;149.09;2;2;[0, 0, 1, 0, 1]
706;[15983];2020-07-15;2;314.132;101.65627700729944;70.62;2;2;[0, 0, 1, 0, 1]
706;[15852, 15814];2020-07-10;4;181.448;101.65627700729944;115.38;2;2;[0, 0, 1, 0, 1]
706;[15466];2020-07-08;2;555.882;101.65627700729944;75.76;2;2;[0, 0, 1, 0, 1]
706;[15374];2020-07-03;4;9923.56;101.65627700729944;190.98;2;2;[0, 0, 1, 0, 1]
706;[14969];2020-07-01;2;2101.87;101.65627700729944;113.32;2;2;[0, 0, 1, 0, 1]
706;[14742];2020-06-26;4;665.683;101.65627700729944;78.47;2;2;[0, 0, 1, 0, 1]
706;[14485, 14357];2020-06-24;2;319.8;101.65627700729944;113.30000000000001;2;2;[0, 0, 1, 0, 1]
706;[14251];2020-06-19;4;34.845;101.65627700729944;44.76;2;2;[0, 0, 1, 0, 1]
706;[13747];2020-06-17;2;1414.74;101.65627700729944;97.04;2;2;[0, 0, 1, 0, 1]
706;[13356, 13257];2020-06-10;2;2821.06;101.65627700729944;168.13;2;2;[0, 0, 1, 0, 1]
706;[13115, 12925];2020-06-05;4;1588.46;101.65627700729944;163.14;2;2;[0, 0, 1, 0, 1]
706;[12620];2020-05-29;4;894.732;101.65627700729944;84.19;2;2;[0, 0, 1, 0, 1]
706;[12465, 12330];2020-05-27;2;1231.271;101.65627700729944;134.44;2;2;[0, 0, 1, 0, 1]
706;[12195];2020-05-22;4;630.25;101.65627700729944;78.47;2;2;[0, 0, 1, 0, 1]
706;[11839, 11730];2020-05-15;4;1704.6;101.65627700729944;165.44;2;2;[0, 0, 1, 0, 1]
706;[11372];2020-05-13;2;3652.58;101.65627700729944;132.16;2;2;[0, 0, 1, 0, 1]
706;[11140];2020-05-08;4;3936.18;101.65627700729944;132.16;2;2;[0, 0, 1, 0, 1]
706;[10780];2020-05-06;2;202.5;101.65627700729944;68.54;2;2;[0, 0, 1, 0, 1]
706;[10745, 10675];2020-05-01;4;1957.0;101.65627700729944;153.93;2;2;[0, 0, 1, 0, 1]
706;[10378];2020-04-29;2;823.614;101.65627700729944;84.19;2;2;[0, 0, 1, 0, 1]
706;[10108];2020-04-24;4;6.475;101.65627700729944;21.9;2;2;[0, 0, 1, 0, 1]
706;[9808];2020-04-22;2;1319.5361109064645;101.65627700729944;94.94;2;2;[0, 0, 1, 0, 1]
706;[9477];2020-04-17;4;8.487;101.65627700729944;21.9;2;2;[0, 0, 1, 0, 1]
706;[9277];2020-04-15;2;86.0;101.65627700729944;57.17;2;2;[0, 0, 1, 0, 1]
706;[9116];2020-04-10;4;35.0;101.65627700729944;44.76;2;2;[0, 0, 1, 0, 1]
706;[8970];2020-04-08;2;1534.27;101.65627700729944;99.8;2;2;[0, 0, 1, 0, 1]
706;[8265];2020-04-01;2;2018.44;101.65627700729944;113.32;2;2;[0, 0, 1, 0, 1]
706;[8109];2020-03-27;4;2317.41;101.65627700729944;113.32;2;2;[0, 0, 1, 0, 1]
706;[7717];2020-03-25;2;1783.14;101.65627700729944;103.4;2;2;[0, 0, 1, 0, 1]
706;[7644, 7670];2020-03-20;4;3101.7780000000002;101.65627700729944;195.04000000000002;2;2;[0, 0, 1, 0, 1]
706;[7298, 7132];2020-03-18;2;8455.26;101.65627700729944;253.78;2;2;[0, 0, 1, 0, 1]
706;[7018, 6795, 6680];2020-03-13;4;1385.3780000000002;101.65627700729944;180.72000000000003;2;2;[0, 0, 1, 0, 1]
706;[6467];2020-03-11;2;212.789;101.65627700729944;68.54;2;2;[0, 0, 1, 0, 1]
706;[6358, 6158];2020-03-06;4;2971.459;101.65627700729944;164.04;2;2;[0, 0, 1, 0, 1]
706;[5893];2020-03-04;2;4021.45;101.65627700729944;139.12;2;2;[0, 0, 1, 0, 1]
