;ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Distance;Wochentag;Delay;Frachtkosten
0;997;[27631];2020-12-11;394.0;78.56749418147875;4;0.0;67.88
1;997;[27491];2020-12-09;2715.49;78.56749418147875;2;0.0;114.65
2;997;[27041];2020-12-04;383.504;78.56749418147875;4;0.0;67.88
3;997;[26821];2020-12-02;1460.0;78.56749418147875;2;0.0;93.27
4;997;[26610, 26393];2020-11-27;7800.210000000001;78.56749418147875;4;-1.5;161.86
5;997;[26275, 26160];2020-11-25;4753.4;78.56749418147875;2;-0.5;138.77
6;997;[26027, 25878];2020-11-20;3108.23;78.56749418147875;4;-2.0;120.68
7;997;[25662];2020-11-18;2226.21;78.56749418147875;2;0.0;108.91
8;997;[25542, 25263];2020-11-13;9692.439999999999;78.56749418147875;4;-2.0;172.61
9;997;[25025];2020-11-11;1502.43;78.56749418147875;2;0.0;95.93
10;997;[24696];2020-11-06;1538.63;78.56749418147875;4;-3.0;95.93
11;997;[24406];2020-11-04;2595.72;78.56749418147875;2;0.0;114.65
12;997;[24150, 24081];2020-10-30;8303.25;78.56749418147875;4;-1.5;169.16
13;997;[23832];2020-10-28;576.0;78.56749418147875;2;0.0;72.82
14;997;[23531];2020-10-23;1311.0;78.56749418147875;4;-3.0;91.25
15;997;[23306];2020-10-21;1172.0;78.56749418147875;2;0.0;86.2
16;997;[22734];2020-10-14;224.0;78.56749418147875;2;0.0;65.88
17;997;[22573];2020-10-09;262.2;78.56749418147875;4;-3.0;65.88
18;997;[22165];2020-10-07;4311.41;78.56749418147875;2;0.0;133.72
19;997;[21949];2020-10-02;10214.37;78.56749418147875;4;-3.0;203.79
20;997;[21857, 21629];2020-09-30;7593.0;78.56749418147875;2;-0.5;161.86
21;997;[21400];2020-09-25;7203.08;78.56749418147875;4;-3.0;161.86
22;997;[21123];2020-09-23;691.2;78.56749418147875;2;0.0;75.43
23;997;[20852];2020-09-18;4268.95;78.56749418147875;4;-3.0;133.72
24;997;[20564];2020-09-16;854.0;78.56749418147875;2;0.0;80.92
25;997;[20380];2020-09-11;4276.67;78.56749418147875;4;-3.0;133.72
26;997;[20122];2020-09-09;4632.95;78.56749418147875;2;0.0;138.77
27;997;[19872];2020-09-04;1875.35;78.56749418147875;4;-3.0;102.13
28;997;[19547];2020-09-02;4276.8;78.56749418147875;2;0.0;133.72
