;0;1001;1015;1016;1020;1030;1031;1034;1035;1041;1045;1050;1053;1056;1061;1062;1063;1064;1065;1067;1068;1070;1074;1076;1082;1084;1088;1089;1091;1102;1115;1123;1126;1133;1151;1164;1165;1174;1176;1177;1179;1186;1187;1190;1193;1204;1210;1213;1231;1236;1255;1273;1313;1315;1350;1371;1372;1497;1689;1708;1865;1868
0;0.0;23.7;92.66;60.65;57.6;35.53;55.9;87.5;60.88;56.59;71.24;130.54;149.97;151.03;129.73;137.77;151.27;73.86;172.83;73.16;68.15;105.12;25.99;63.9;72.65;107.67;79.16;80.44;25.13;86.2;108.45;47.18;60.16;23.08;34.83;60.06;133.37;23.2;55.81;35.31;144.43;56.74;85.58;54.07;193.18;171.94;45.1;16.73;79.75;49.03;100.17;16.51;124.28;49.63;49.42;43.1;133.36;108.29;15.69;55.77;153.47;106.94
1001;23.7;0.0;109.87;77.86;85.13;14.97;35.34;66.93;40.32;76.17;84.88;116.5;167.18;168.24;146.94;154.98;168.48;101.39;190.05;90.37;85.37;98.2;15.28;83.48;100.18;127.25;58.6;59.88;9.16;99.84;135.98;74.71;79.75;40.3;48.47;22.54;152.96;50.74;35.25;14.75;161.64;70.38;99.22;81.6;210.4;189.16;24.54;35.37;93.39;28.47;79.61;34.38;141.5;27.87;27.71;60.31;150.57;135.82;51.88;69.41;170.68;86.38
1015;92.66;109.87;0.0;40.88;87.04;122.94;143.31;174.91;148.29;115.0;154.82;126.95;101.35;96.09;73.19;43.98;45.46;40.92;116.3;138.98;133.97;170.93;103.77;122.31;66.74;114.25;166.57;167.85;102.91;189.22;13.68;58.14;118.57;79.64;116.87;147.47;191.78;82.43;143.22;122.72;98.69;150.52;163.12;59.46;136.65;115.41;132.51;105.36;176.76;136.44;187.58;101.9;67.75;152.64;152.43;108.91;39.35;32.25;90.88;158.78;96.93;194.35
1016;60.65;77.86;40.88;0.0;68.99;84.86;105.23;136.83;110.21;76.92;116.74;158.28;99.78;92.92;71.62;79.66;93.16;85.25;114.72;100.9;95.89;132.85;65.69;84.23;84.04;127.99;128.49;129.77;64.83;151.14;56.09;58.57;80.49;41.56;78.79;109.39;153.7;38.27;105.14;84.64;86.32;112.44;125.04;65.46;135.07;113.83;94.43;67.28;138.68;98.36;149.5;63.82;66.17;114.56;114.35;70.83;75.25;92.23;52.8;120.7;95.36;156.27
1020;57.6;85.13;87.04;68.99;0.0;93.24;113.62;145.21;118.6;43.18;97.34;178.99;165.71;154.5;137.56;145.6;146.76;50.6;180.66;121.61;116.6;153.56;74.07;50.43;35.54;65.92;136.88;138.15;73.21;131.74;92.97;31.7;46.75;71.53;59.39;117.78;91.63;38.22;113.53;93.03;157.09;93.05;105.64;24.96;201.01;179.77;102.81;37.72;128.34;106.74;157.89;44.14;132.11;95.17;94.96;91.55;128.27;92.81;37.93;101.31;161.3;164.66
1030;35.53;14.97;122.94;84.86;93.24;0.0;27.64;59.23;32.62;87.4;63.04;108.8;178.41;179.47;158.17;166.21;179.71;112.62;201.27;101.6;96.59;90.5;46.16;94.71;111.4;138.47;50.9;52.17;29.61;67.92;147.2;85.94;90.97;51.52;59.69;31.8;164.18;61.96;27.55;2.85;172.87;60.78;67.04;92.82;221.62;200.38;16.83;46.6;71.56;15.53;71.91;45.61;152.72;23.33;23.17;71.54;161.8;147.05;63.1;47.83;181.91;78.68
1031;55.9;35.34;143.31;105.23;113.62;27.64;0.0;43.22;16.32;108.47;117.17;92.79;199.47;200.54;179.24;187.28;200.78;133.68;222.34;67.2;117.66;74.49;25.88;115.78;132.47;159.54;34.89;36.16;29.89;132.14;168.27;107.01;112.04;72.59;80.76;0.85;185.25;83.03;0.58;27.13;193.94;102.67;131.51;113.89;242.69;221.45;10.58;67.67;125.69;40.84;55.9;66.68;173.79;48.8;48.64;46.92;182.87;168.11;84.17;101.7;202.98;62.67
1034;87.5;66.93;174.91;136.83;145.21;59.23;43.22;0.0;34.63;139.93;148.63;56.36;135.82;232.0;210.7;218.74;232.24;165.15;253.8;55.91;54.01;38.06;98.7;147.24;163.94;191.01;17.94;15.62;82.14;163.6;199.74;138.47;143.5;104.05;112.22;42.93;216.71;114.49;47.49;58.59;225.4;134.14;162.98;145.36;162.27;252.91;56.74;99.13;157.15;72.3;19.47;98.14;205.25;80.27;80.1;51.97;214.33;199.58;115.63;133.17;234.44;26.24
1035;60.88;40.32;148.29;110.21;118.6;32.62;16.32;34.63;0.0;112.59;121.29;84.03;203.59;204.66;183.36;191.4;204.9;137.8;226.46;126.79;121.78;65.73;71.35;119.9;136.59;163.66;26.14;27.41;54.8;136.26;172.39;111.13;116.16;76.71;84.88;15.3;189.37;87.15;16.46;31.24;198.06;106.79;135.63;118.01;246.81;225.57;29.39;71.78;129.81;44.96;47.15;70.8;177.91;52.92;52.76;96.72;186.99;172.23;88.29;105.82;207.1;53.91
