;ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Distanz;Wochentag;Delay;Frachtkosten
0;1001.0;[6901.0];2022-10-19;250.0;21.766;2;-5.0;32.1075
1;1001.0;[6704.0];2022-10-12;170.0;21.766;2;-6.0;29.282700000000002
2;1001.0;[5894.0];2022-09-28;226.0;21.766;2;0.0;31.260060000000003
3;1001.0;[5425.0, 5291.0];2022-09-14;346.0;21.766;2;-2.5;35.49726
4;1001.0;[4825.0, 4681.0];2022-08-31;431.82;21.766;2;-1.0;38.5275642
5;1001.0;[4202.0];2022-08-17;94.0;21.766;2;0.0;26.599140000000002
6;1001.0;[3610.0];2022-07-27;335.0;21.766;2;-5.0;35.108850000000004
7;1001.0;[3338.0, 3301.0];2022-07-20;99.74;21.766;2;-5.5;26.8018194
8;1001.0;[2528.0];2022-07-06;393.5;21.766;2;-1.0;37.174485000000004
9;1001.0;[2321.0];2022-06-29;410.0;21.766;2;-5.0;37.7571
10;1001.0;[1930.0];2022-06-22;138.0;21.766;2;0.0;28.15278
11;1001.0;[1833.0];2022-06-15;153.52;21.766;2;-5.0;28.7007912
12;1001.0;[1713.0, 1627.0];2022-06-08;315.0;21.766;2;-5.5;34.40265
13;1001.0;[797.0];2022-05-18;97.27;21.766;2;-1.0;26.7146037
14;1001.0;[432.0];2022-05-11;54.0;21.766;2;0.0;25.18674
15;1001.0;[0.0];2022-04-27;190.0;21.766;2;-5.0;29.9889
16;1016.0;[7121.0, 7132.0];2022-10-27;8214.810000000001;54.273;3;-1.0;313.3449411
17;1016.0;[6994.0];2022-10-24;5580.0;54.489;0;-2.0;220.30980000000002
18;1016.0;[6891.0];2022-10-20;5580.0;54.489;3;-1.0;220.30980000000002
19;1016.0;[6741.0, 6610.0];2022-10-17;20237.25;54.273;0;-1.0;737.8572975000001
20;1016.0;[6487.0];2022-10-13;24191.04;54.273;3;-0.5;877.4656224
21;1016.0;[6562.0];2022-10-13;2304.0;54.273;3;-0.5;104.63424
22;1016.0;[6227.0];2022-10-06;3738.86;54.489;3;-1.0;155.2991466
23;1016.0;[6113.0];2022-10-03;2999.66;54.273;0;-2.0;129.19799460000002
24;1016.0;[6029.0];2022-09-29;6631.5;54.489;3;-1.0;257.438265
25;1016.0;[5842.0, 5702.0];2022-09-26;1845.48;54.273;0;-1.0;88.4438988
26;1016.0;[5673.0];2022-09-22;20088.0;54.489;3;-1.0;732.58728
27;1016.0;[5544.0, 5406.0];2022-09-19;6349.8099999999995;54.273;0;-1.0;247.4917911
28;1016.0;[5360.0, 5334.0];2022-09-15;10424.0;54.273;3;-0.5;391.35144
29;1016.0;[5270.0, 5119.0];2022-09-12;12186.8;54.489;0;-1.0;453.595908
30;1016.0;[5084.0];2022-09-08;8744.0;54.273;3;-1.0;332.03064000000006
31;1016.0;[4972.0];2022-09-05;7269.38;54.273;0;-2.0;279.9618078
32;1016.0;[4780.0];2022-09-01;16096.0;54.273;3;-1.0;591.62976
33;1016.0;[4673.0, 4652.0, 4568.0];2022-08-29;21266.92;54.489;0;-1.0;774.2149451999999
34;1016.0;[4536.0];2022-08-25;5904.0;54.489;3;-1.0;231.75024000000002
35;1016.0;[4451.0, 4325.0];2022-08-22;9225.880000000001;54.489;0;-1.0;349.0458228000001
36;1016.0;[3842.0];2022-08-04;8662.0;54.489;3;-1.0;329.13522
37;1016.0;[3687.0];2022-08-01;3024.0;54.489;0;-2.0;130.05743999999999
38;1016.0;[3525.0];2022-07-28;6247.51;54.489;3;-1.0;243.8795781
39;1016.0;[3450.0, 3282.0];2022-07-25;18235.510000000002;54.273;0;-1.0;667.1758581
40;1016.0;[3115.0, 2946.0, 3017.0];2022-07-18;19208.0;54.489;0;-0.6666666666666666;701.51448
41;1016.0;[2820.0, 2652.0];2022-07-11;9229.82;54.273;0;-1.0;349.1849442
42;1016.0;[2634.0];2022-07-07;10158.8;54.489;3;-1.0;381.98722799999996
43;1016.0;[2453.0, 2329.0];2022-07-04;19960.0;54.489;0;-1.0;728.0676000000001
44;1016.0;[2175.0];2022-06-27;2304.0;54.273;0;0.0;104.63424
45;1016.0;[2074.0];2022-06-23;5724.0;54.489;3;-1.0;225.39444
46;1016.0;[1958.0, 1877.0];2022-06-20;16948.0;54.489;0;-1.5;621.71388
47;1016.0;[1770.0];2022-06-13;8660.67;54.489;0;-2.0;329.0882577
48;1016.0;[1596.0];2022-06-09;15514.89;54.489;3;-1.0;571.1107658999999
49;1016.0;[1464.0];2022-06-06;5760.0;54.489;0;-2.0;226.6656
50;1016.0;[1306.0];2022-06-02;7924.0;54.273;3;-1.0;303.07644000000005
51;1016.0;[1235.0, 1162.0];2022-05-30;14328.0;54.489;0;-1.5;529.20168
52;1016.0;[1001.0];2022-05-23;5580.0;54.489;0;-2.0;220.30980000000002
53;1016.0;[847.0];2022-05-19;8084.0;54.273;3;-1.0;308.72604
54;1016.0;[715.0];2022-05-16;8159.27;54.273;0;-2.0;311.3838237
55;1016.0;[553.0, 483.0];2022-05-12;5420.0;54.489;3;-0.5;214.6602
56;1016.0;[438.0, 415.0, 314.0];2022-05-09;20675.0;54.273;0;-1.0;753.31425
57;1016.0;[129.0, 15.0];2022-05-02;13808.0;54.489;0;-1.0;510.84048000000007
58;1020.0;[6433.0];2022-10-06;2306.15;47.386;3;-6.0;104.71015650000001
59;1020.0;[5696.0, 5689.0];2022-09-22;1120.24;47.386;3;-2.5;62.8356744
60;1020.0;[5118.0];2022-09-08;2113.29;47.386;3;-1.0;97.9002699
61;1020.0;[4197.0, 4095.0];2022-08-11;347.48;47.386;3;-3.5;35.5495188
62;1020.0;[3580.0];2022-07-28;322.07;47.386;3;-4.0;34.6522917
63;1020.0;[3433.0, 3214.0];2022-07-21;3000.5;47.386;3;-3.5;129.22765500000003
64;1020.0;[2956.0];2022-07-14;362.33;47.386;3;-4.0;36.073872300000005
65;1020.0;[2744.0, 2588.0];2022-07-07;2662.46;47.386;3;-3.0;117.29146260000002
66;1020.0;[2122.0, 2064.0];2022-06-23;2459.83;47.386;3;-2.5;110.1365973
67;1020.0;[1949.0];2022-06-16;8.29;47.386;3;-6.0;23.572719900000003
68;1020.0;[1406.0];2022-06-02;5037.81;47.386;3;-5.0;201.16507110000003
69;1020.0;[1218.0];2022-05-26;1477.5;47.386;3;-6.0;75.450525
70;1020.0;[993.0, 923.0, 842.0];2022-05-19;3188.2200000000003;47.386;3;-3.6666666666666665;135.85604820000003
71;1020.0;[699.0];2022-05-12;2369.0;47.386;3;-5.0;106.92939
72;1020.0;[87.0, 19.0];2022-04-28;1706.98;47.386;3;-4.5;83.5534638
73;1030.0;[6330.0];2022-10-06;533.0;33.18;3;-4.0;42.100229999999996
74;1030.0;[6144.0, 6125.0, 6026.0];2022-09-29;5017.63;33.18;3;-4.0;200.45251530000002
75;1030.0;[5449.0];2022-09-15;3935.0;33.18;3;-4.0;162.22485
76;1030.0;[5249.0, 5153.0];2022-09-08;3848.8;33.18;3;-5.0;159.18112800000003
77;1030.0;[4838.0, 4807.0];2022-09-01;4244.84;33.18;3;-2.5;173.1653004
78;1030.0;[4515.0];2022-08-25;552.84;33.18;3;0.0;42.80078040000001
79;1030.0;[3856.0, 3807.0];2022-08-04;3705.62;33.18;3;-0.5;154.1254422
80;1030.0;[3239.0];2022-07-21;92.0;33.18;3;-1.0;26.52852
81;1030.0;[2906.0];2022-07-14;2330.81;33.18;3;-1.0;105.5809011
82;1030.0;[2223.0, 2185.0, 2028.0];2022-06-23;2946.9399999999996;33.18;3;-3.0;127.33645139999999
83;1030.0;[1887.0];2022-06-16;405.0;33.18;3;-5.0;37.58055
84;1030.0;[1703.0];2022-06-09;2447.84;33.18;3;-5.0;109.71323040000001
85;1030.0;[547.0];2022-05-12;3138.08;33.18;3;-1.0;134.0856048
86;1030.0;[392.0];2022-05-05;2410.0;33.18;3;-5.0;108.37710000000001
87;1030.0;[93.0, 29.0];2022-04-28;1817.0;33.18;3;-4.5;87.43827
88;1031.0;[6983.0];2022-10-24;197.77;41.348;0;-1.0;30.2632587
89;1031.0;[6753.0];2022-10-19;32.24;41.348;2;0.0;24.4183944
90;1031.0;[6670.0];2022-10-17;244.03;41.348;0;-1.0;31.8966993
91;1031.0;[6507.0, 6457.0];2022-10-12;5738.43;41.348;2;-0.5;225.90396330000004
92;1031.0;[6375.0, 6319.0];2022-10-10;2234.63;41.348;0;-0.5;102.1847853
93;1031.0;[6250.0, 6207.0, 6102.0];2022-10-05;14858.14;41.348;2;-1.0;547.9209234
94;1031.0;[5920.0];2022-09-28;158.0;41.348;2;-1.0;28.858980000000003
95;1031.0;[5827.0, 5764.0];2022-09-26;1778.23;41.348;0;-0.5;86.0693013
96;1031.0;[5647.0];2022-09-21;599.71;41.348;2;-1.0;44.455760100000006
97;1031.0;[5484.0, 5452.0];2022-09-19;3485.29;41.348;0;-0.5;146.3455899
98;1031.0;[5308.0];2022-09-14;14.4;41.348;2;-1.0;23.788464
99;1031.0;[5226.0, 5155.0];2022-09-12;1456.76;41.348;0;-0.5;74.7181956
100;1031.0;[5092.0, 5006.0, 4954.0];2022-09-07;1239.62;41.348;2;-1.0;67.05098219999999
101;1031.0;[4912.0, 4836.0];2022-09-05;6109.48;41.348;0;-0.5;239.0057388
102;1031.0;[4809.0];2022-08-31;1112.19;41.348;2;-2.0;62.551428900000005
103;1031.0;[4542.0, 4452.0];2022-08-24;9534.39;41.348;2;-1.0;359.9393109
104;1031.0;[4309.0, 4205.0];2022-08-17;1987.47;41.348;2;-1.0;93.4575657
105;1031.0;[4177.0];2022-08-15;319.52;41.348;0;-1.0;34.562251200000006
106;1031.0;[4108.0, 3998.0];2022-08-10;6465.77;41.348;2;-1.0;251.58633870000003
107;1031.0;[3948.0];2022-08-08;153.67;41.348;0;-1.0;28.7060877
108;1031.0;[3862.0, 3802.0];2022-08-03;2235.9900000000002;41.348;2;-1.5;102.23280690000001
109;1031.0;[3667.0];2022-08-01;4934.49;41.348;0;-1.0;197.5168419
110;1031.0;[3498.0];2022-07-27;117.04;41.348;2;-1.0;27.4126824
111;1031.0;[3391.0];2022-07-25;311.0;41.348;0;-1.0;34.26141
112;1031.0;[3081.0];2022-07-20;870.44;41.348;2;0.0;54.015236400000006
113;1031.0;[2902.0, 2841.0];2022-07-13;2388.36;41.348;2;-1.5;107.61299160000002
114;1031.0;[2268.0];2022-06-29;1632.39;41.348;2;-1.0;80.9196909
115;1031.0;[2196.0, 2180.0];2022-06-27;5787.38;41.348;0;-0.5;227.63238780000003
116;1031.0;[2026.0, 2110.0];2022-06-22;1206.04;41.348;2;-1.0;65.86527240000001
117;1031.0;[1881.0];2022-06-20;3618.5;41.348;0;-1.0;151.049235
118;1031.0;[1699.0];2022-06-13;727.58;41.348;0;-1.0;48.9708498
119;1031.0;[1317.0, 1227.0];2022-06-01;417.41;41.348;2;-1.0;38.018747100000006
120;1031.0;[1075.0];2022-05-30;94.12;41.348;0;0.0;26.6033772
121;1031.0;[1030.0];2022-05-25;40.99;41.348;2;0.0;24.7273569
122;1031.0;[936.0];2022-05-23;508.82;41.348;0;-1.0;41.246434199999996
123;1031.0;[659.0];2022-05-16;3090.3;41.348;0;-1.0;132.39849300000003
124;1031.0;[241.0, 153.0];2022-05-04;2564.62;41.348;2;-0.5;113.8367322
125;1031.0;[95.0, 30.0];2022-05-02;879.58;41.348;0;-0.5;54.3379698
126;1034.0;[6986.0];2022-10-21;1618.02;85.295;4;-4.0;80.41228620000001
127;1034.0;[6641.0, 6573.0];2022-10-14;555.03;85.295;4;-1.5;42.878109300000006
128;1034.0;[6463.0];2022-10-12;1953.5;85.295;2;0.0;92.25808500000001
