Recipient_ID;Recipient_ID;Shipment_ID;Loading_Date;Weight;Freight_Cost;Sender_Street;Sender_Postal_Code;Sender_City;Recipient_Street;Recipient_Postal_Code;Recipient_City;Recipient_House_No;Calendar_Week;Recipient_Longitude;Recipient_Latitude;Sender_Longitude;Sender_Latitude;Real_Distance;Duration;Euc_Distance;Weekday
1397;1397;112;2020-01-07;5031.01;130.53;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;1;8.253594;53.108459;9.3372;53.124339;87546.4;3851.5;72.33890920065701;1
1274;1274;115;2020-01-07;756.0;78.12;Trinidadstraße 44;27356;Rotenburg (Wümme);BRÄGELER RING ;49393;LOHNE;2;1;8.269872;52.680462;9.3372;53.124339;114158.0;4530.6;86.95039245085735;1
1331;1331;120;2020-01-06;8463.07;169.16;Trinidadstraße 44;27356;Rotenburg (Wümme);KOPPELWEG ;49681;GARREL;10 ;1;8.03512;52.930792;9.3372;53.124339;112559.1;4598.4;89.69678023951909;0
1116;1116;125;2020-01-06;1319.5361109064645;71.83;Trinidadstraße 44;27356;Rotenburg (Wümme);BRUCHWEG ;28309;BREMEN;78 ;1;8.896503;53.051524;9.3372;53.124339;38961.5;1917.2;30.524211132344842;0
1222;1222;127;2020-01-06;1446.98;73.42;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;1;8.891634;53.111667;9.3372;53.124339;43696.1;2182.8;29.7685363427645;0
1042;1042;128;2020-01-06;6309.23;137.4;Trinidadstraße 44;27356;Rotenburg (Wümme);ELLY BEINHORN STRASSE ;27777;GANDERKESEE;6 ;1;8.522141;53.034216;9.3372;53.124339;66000.3;3043.9;55.35692139921839;0
1310;1310;129;2020-01-06;6641.0;121.04;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27809;LEMWERDER;9 ;1;8.614094;53.166113;9.3372;53.124339;63502.0;3297.4;48.44949072919388;0
1397;1397;131;2020-01-06;4665.76;124.01;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;1;8.253594;53.108459;9.3372;53.124339;87546.4;3851.5;72.33890920065701;0
1334;1334;134;2020-01-06;14518.0;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1;8.301824;52.824642;9.3372;53.124339;87468.5;3870.5;76.91971192010008;0
1334;1334;145;2020-01-06;21274.2;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1;8.301824;52.824642;9.3372;53.124339;87468.5;3870.5;76.91971192010008;0
1255;1255;151;2020-01-06;1482.73;93.27;Trinidadstraße 44;27356;Rotenburg (Wümme);HINTERM RHADEN ;26188;EDEWECHT;6 ;1;8.033938;53.124816;9.3372;53.124339;101449.3;4571.5;86.95978877717648;0
1137;1137;155;2020-01-06;29.028;46.5;Trinidadstraße 44;27356;Rotenburg (Wümme);NORMANNENSTRASSE ;26723;EMDEN;10 ;1;7.192901;53.369056;9.3372;53.124339;175617.0;7034.3;145.238672376875;0
