Recipient_ID;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
997;[27631, 27491];2020-12-09;3109.49;78.56749418147875;2;-1.0
997;[27041, 26821];2020-12-02;1843.504;78.56749418147875;2;-1.0
997;[26610];2020-11-30;3312.03;78.56749418147875;0;0.0
997;[26393, 26275, 26160];2020-11-25;9241.58;78.56749418147875;2;-1.0
997;[26027];2020-11-23;1304.23;78.56749418147875;0;-1.0
997;[25878, 25662];2020-11-18;4030.21;78.56749418147875;2;-1.0
997;[25542];2020-11-16;5470.23;78.56749418147875;0;-1.0
997;[25263, 25025];2020-11-11;5724.64;78.56749418147875;2;-1.0
997;[24696];2020-11-09;1538.63;78.56749418147875;0;0.0
997;[24406];2020-11-04;2595.72;78.56749418147875;2;0.0
997;[24150];2020-11-02;499.84;78.56749418147875;0;0.0
997;[24081, 23832];2020-10-28;8379.41;78.56749418147875;2;-1.0
997;[23531];2020-10-26;1311.0;78.56749418147875;0;0.0
997;[23306];2020-10-21;1172.0;78.56749418147875;2;0.0
997;[22734];2020-10-14;224.0;78.56749418147875;2;0.0
997;[22573];2020-10-12;262.2;78.56749418147875;0;0.0
997;[22165];2020-10-07;4311.41;78.56749418147875;2;0.0
997;[21949];2020-10-05;10214.37;78.56749418147875;0;0.0
997;[21857, 21629];2020-09-30;7593.0;78.56749418147875;2;-0.5
997;[21400];2020-09-28;7203.08;78.56749418147875;0;0.0
997;[21123];2020-09-23;691.2;78.56749418147875;2;0.0
997;[20852];2020-09-21;4268.95;78.56749418147875;0;0.0
997;[20564];2020-09-16;854.0;78.56749418147875;2;0.0
997;[20380];2020-09-14;4276.67;78.56749418147875;0;0.0
997;[20122];2020-09-09;4632.95;78.56749418147875;2;0.0
997;[19872];2020-09-07;1875.35;78.56749418147875;0;0.0
997;[19547];2020-09-02;4276.8;78.56749418147875;2;0.0
997;[19240];2020-08-31;3331.36;78.56749418147875;0;0.0
997;[19094];2020-08-26;2800.16;78.56749418147875;2;0.0
997;[18896];2020-08-24;3239.35;78.56749418147875;0;0.0
997;[18604];2020-08-19;3088.0;78.56749418147875;2;0.0
997;[18270];2020-08-17;5422.14;78.56749418147875;0;0.0
997;[18115];2020-08-12;740.0;78.56749418147875;2;0.0
997;[17142];2020-07-29;11.0;78.56749418147875;2;0.0
997;[16909];2020-07-27;167.333;78.56749418147875;0;0.0
997;[16810, 16605];2020-07-22;8275.18;78.56749418147875;2;-1.0
997;[16416];2020-07-20;2453.95;78.56749418147875;0;0.0
997;[16076];2020-07-15;3285.6;78.56749418147875;2;0.0
997;[15732];2020-07-13;32.375;78.56749418147875;0;0.0
997;[15443];2020-07-08;772.375;78.56749418147875;2;0.0
997;[15171];2020-07-06;6797.6;78.56749418147875;0;0.0
997;[14881];2020-07-01;301.593;78.56749418147875;2;0.0
997;[14717];2020-06-29;1332.0;78.56749418147875;0;0.0
997;[14347];2020-06-24;3335.49;78.56749418147875;2;0.0
997;[14096];2020-06-22;2464.61;78.56749418147875;0;0.0
997;[13796];2020-06-17;1449.03;78.56749418147875;2;0.0
997;[13585];2020-06-15;4838.19;78.56749418147875;0;0.0
997;[13324];2020-06-10;1007.0;78.56749418147875;2;0.0
997;[12910];2020-06-08;3197.81;78.56749418147875;0;0.0
