ID_Empf�nger;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
1281;[11343];2020-05-13;4189.0;84.70956259094784;2;0.0
1281;[11310];2020-05-12;4477.0;84.70956259094784;1;0.0
1281;[11160];2020-05-11;7812.0;84.70956259094784;0;0.0
1281;[10955];2020-05-07;2233.0;84.70956259094784;3;0.0
1281;[10577];2020-05-04;12071.0;84.70956259094784;0;0.0
1281;[10472];2020-04-30;4693.0;84.70956259094784;3;0.0
1281;[10354];2020-04-29;1032.0;84.70956259094784;2;0.0
1281;[10261];2020-04-28;3487.0;84.70956259094784;1;0.0
1281;[10165];2020-04-27;4824.0;84.70956259094784;0;0.0
1281;[10036, 10037];2020-04-24;6207.708;84.70956259094784;4;0.0
1281;[9926];2020-04-23;2733.0;84.70956259094784;3;0.0
1281;[9796];2020-04-22;2654.0;84.70956259094784;2;0.0
1281;[9699];2020-04-21;671.0;84.70956259094784;1;0.0
1281;[9579];2020-04-20;1085.0;84.70956259094784;0;0.0
1281;[9472];2020-04-17;4910.0;84.70956259094784;4;0.0
1281;[9217];2020-04-15;1980.0;84.70956259094784;2;0.0
1284;[28184];2020-12-18;274.05;104.68224297819614;4;0.0
1284;[28059];2020-12-17;2100.88;104.68224297819614;3;0.0
1284;[27978];2020-12-16;5965.48;104.68224297819614;2;0.0
1284;[27850];2020-12-15;11610.96;104.68224297819614;1;0.0
1284;[27754];2020-12-14;4670.35;104.68224297819614;0;0.0
1284;[27576];2020-12-10;9037.96;104.68224297819614;3;0.0
1284;[27486];2020-12-09;9237.0;104.68224297819614;2;0.0
1284;[27347];2020-12-08;12176.74;104.68224297819614;1;0.0
1284;[27182];2020-12-07;6303.63;104.68224297819614;0;0.0
1284;[26878, 26895];2020-12-03;18547.53;104.68224297819614;3;0.0
1284;[26754];2020-12-02;7231.03;104.68224297819614;2;0.0
1284;[26671];2020-12-01;9350.11;104.68224297819614;1;0.0
1284;[26484];2020-11-30;3207.08;104.68224297819614;0;0.0
1284;[26452];2020-11-27;523.5;104.68224297819614;4;0.0
1273;[28172];2020-12-18;3510.0;16.88607044715543;4;0.0
1273;[28090];2020-12-16;3071.0;16.88607044715543;2;-1.0
1273;[27939, 27741];2020-12-14;5862.0;16.88607044715543;0;-0.5
1273;[27658];2020-12-11;162.755;16.88607044715543;4;0.0
1273;[27530, 27461];2020-12-09;3139.0;16.88607044715543;2;-0.5
1273;[27360, 27115];2020-12-07;2558.97;16.88607044715543;0;-0.5
1273;[27026];2020-12-04;166.863;16.88607044715543;4;0.0
1273;[26953];2020-12-02;2161.0;16.88607044715543;2;-1.0
1273;[26627, 26543];2020-11-30;5908.25;16.88607044715543;0;-0.5
1273;[26325];2020-11-25;2012.23;16.88607044715543;2;-1.0
1273;[26018, 25928];2020-11-23;5789.0;16.88607044715543;0;-0.5
1273;[25863];2020-11-20;318.0;16.88607044715543;4;0.0
1273;[25785, 25572];2020-11-18;6723.0;16.88607044715543;2;-0.5
1273;[25519, 25372];2020-11-16;4270.42;16.88607044715543;0;-0.5
1273;[25274];2020-11-13;1068.0;16.88607044715543;4;0.0
1273;[25124, 25089];2020-11-11;12008.08;16.88607044715543;2;-0.5
1273;[24949, 24733];2020-11-09;3462.0;16.88607044715543;0;-0.5
1273;[24643];2020-11-04;4396.5;16.88607044715543;2;-1.0
1273;[24270, 24211];2020-11-02;3087.0;16.88607044715543;0;-0.5
1273;[24028];2020-10-28;343.0;16.88607044715543;2;-1.0
1273;[23746, 23671];2020-10-26;3353.27;16.88607044715543;0;-0.5
1273;[23459, 23257];2020-10-21;3654.2;16.88607044715543;2;-0.5
1273;[22837];2020-10-14;5095.0;16.88607044715543;2;-1.0
1273;[22674, 22513, 22514];2020-10-12;5056.7561109064645;16.88607044715543;0;-0.3333333333333333
1273;[22353];2020-10-07;4410.92;16.88607044715543;2;-1.0
1273;[22048, 21980];2020-10-05;7262.19;16.88607044715543;0;-0.5
1273;[21819];2020-09-30;3092.0;16.88607044715543;2;-1.0
1273;[21560, 21310];2020-09-28;1344.0;16.88607044715543;0;-0.5
