ID_Empf�nger;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
997;[27631];2020-12-10;394.0;78.56749418147875;3;-1.0
997;[27491];2020-12-08;2715.49;78.56749418147875;1;-1.0
997;[27041];2020-12-03;383.504;78.56749418147875;3;-1.0
997;[26821];2020-12-01;1460.0;78.56749418147875;1;-1.0
997;[26610, 26393, 26275];2020-11-26;11093.61;78.56749418147875;3;-1.6666666666666667
997;[26160, 26027];2020-11-24;2764.23;78.56749418147875;1;-0.5
997;[25878];2020-11-19;1804.0;78.56749418147875;3;-1.0
997;[25662, 25542];2020-11-17;7696.44;78.56749418147875;1;-0.5
997;[25263];2020-11-12;4222.21;78.56749418147875;3;-1.0
997;[25025];2020-11-10;1502.43;78.56749418147875;1;-1.0
997;[24696];2020-11-05;1538.63;78.56749418147875;3;-4.0
997;[24406];2020-11-03;2595.72;78.56749418147875;1;-1.0
997;[24150, 24081];2020-10-29;8303.25;78.56749418147875;3;-2.5
997;[23832];2020-10-27;576.0;78.56749418147875;1;-1.0
997;[23531];2020-10-22;1311.0;78.56749418147875;3;-4.0
997;[23306];2020-10-20;1172.0;78.56749418147875;1;-1.0
997;[22734];2020-10-13;224.0;78.56749418147875;1;-1.0
997;[22573];2020-10-08;262.2;78.56749418147875;3;-4.0
997;[22165];2020-10-06;4311.41;78.56749418147875;1;-1.0
997;[21949, 21857];2020-10-01;11489.91;78.56749418147875;3;-2.0
997;[21629];2020-09-29;6317.46;78.56749418147875;1;-1.0
997;[21400];2020-09-24;7203.08;78.56749418147875;3;-4.0
997;[21123];2020-09-22;691.2;78.56749418147875;1;-1.0
997;[20852];2020-09-17;4268.95;78.56749418147875;3;-4.0
997;[20564];2020-09-15;854.0;78.56749418147875;1;-1.0
997;[20380];2020-09-10;4276.67;78.56749418147875;3;-4.0
997;[20122];2020-09-08;4632.95;78.56749418147875;1;-1.0
997;[19872];2020-09-03;1875.35;78.56749418147875;3;-4.0
997;[19547];2020-09-01;4276.8;78.56749418147875;1;-1.0
997;[19240];2020-08-27;3331.36;78.56749418147875;3;-4.0
997;[19094];2020-08-25;2800.16;78.56749418147875;1;-1.0
997;[18896];2020-08-20;3239.35;78.56749418147875;3;-4.0
997;[18604];2020-08-18;3088.0;78.56749418147875;1;-1.0
997;[18270];2020-08-13;5422.14;78.56749418147875;3;-4.0
997;[18115];2020-08-11;740.0;78.56749418147875;1;-1.0
997;[17142];2020-07-28;11.0;78.56749418147875;1;-1.0
997;[16909, 16810];2020-07-23;4230.153;78.56749418147875;3;-2.5
997;[16605];2020-07-21;4212.36;78.56749418147875;1;-1.0
997;[16416];2020-07-16;2453.95;78.56749418147875;3;-4.0
997;[16076];2020-07-14;3285.6;78.56749418147875;1;-1.0
997;[15732];2020-07-09;32.375;78.56749418147875;3;-4.0
997;[15443];2020-07-07;772.375;78.56749418147875;1;-1.0
997;[15171];2020-07-02;6797.6;78.56749418147875;3;-4.0
997;[14881];2020-06-30;301.593;78.56749418147875;1;-1.0
997;[14717];2020-06-25;1332.0;78.56749418147875;3;-4.0
997;[14347];2020-06-23;3335.49;78.56749418147875;1;-1.0
997;[14096];2020-06-18;2464.61;78.56749418147875;3;-4.0
997;[13796];2020-06-16;1449.03;78.56749418147875;1;-1.0
997;[13585];2020-06-11;4838.19;78.56749418147875;3;-4.0
997;[13324];2020-06-09;1007.0;78.56749418147875;1;-1.0
997;[12910, 12770];2020-06-04;3951.56;78.56749418147875;3;-2.0
997;[12631];2020-06-02;7220.2;78.56749418147875;1;-1.0
997;[12337];2020-05-26;5525.83;78.56749418147875;1;-1.0
997;[12033];2020-05-21;6416.65;78.56749418147875;3;-4.0
997;[11086];2020-05-07;1741.36;78.56749418147875;3;-4.0
997;[10848];2020-05-05;1070.0;78.56749418147875;1;-1.0
997;[10626];2020-04-30;3644.24;78.56749418147875;3;-4.0
997;[10348];2020-04-28;4276.8;78.56749418147875;1;-1.0
997;[10162, 10040];2020-04-23;2779.0;78.56749418147875;3;-2.5
997;[9812];2020-04-21;170.0;78.56749418147875;1;-1.0
997;[9618, 9491];2020-04-16;10789.68;78.56749418147875;3;-2.5
997;[9282];2020-04-14;2759.73;78.56749418147875;1;-1.0
997;[8744];2020-04-02;5048.0;78.56749418147875;3;-4.0
997;[8360];2020-03-31;2245.72;78.56749418147875;1;-1.0
997;[8053, 7922];2020-03-26;2415.089;78.56749418147875;3;-2.5
997;[7708];2020-03-24;4406.4;78.56749418147875;1;-1.0
997;[7425, 7320];2020-03-19;4348.957;78.56749418147875;3;-2.5
997;[7033];2020-03-17;5507.87;78.56749418147875;1;-1.0
997;[6117, 6059];2020-03-05;8319.98;78.56749418147875;3;-2.5
997;[5791];2020-03-03;532.0;78.56749418147875;1;-1.0
997;[5288];2020-02-27;1024.61;78.56749418147875;3;-1.0
997;[5022];2020-02-25;8.984;78.56749418147875;1;-1.0
997;[4778, 4713];2020-02-20;6393.0;78.56749418147875;3;-2.5
997;[4414];2020-02-18;3069.35;78.56749418147875;1;-1.0
997;[3972];2020-02-13;3298.61;78.56749418147875;3;-1.0
997;[3694];2020-02-11;2885.83;78.56749418147875;1;-1.0
997;[3389];2020-02-06;1621.56;78.56749418147875;3;-4.0
997;[2948];2020-02-04;7071.05;78.56749418147875;1;-1.0
997;[2617];2020-01-30;4276.8;78.56749418147875;3;-1.0
997;[2390];2020-01-28;7185.85;78.56749418147875;1;-1.0
997;[1900];2020-01-23;93.6;78.56749418147875;3;-1.0
997;[1702];2020-01-21;5089.16;78.56749418147875;1;-1.0
997;[1429, 1247];2020-01-16;6677.7;78.56749418147875;3;-2.5
997;[545];2020-01-09;5274.38;78.56749418147875;3;-1.0
997;[356];2020-01-07;1048.15;78.56749418147875;1;-1.0
997;[0];2020-01-02;13538.0;78.56749418147875;3;-4.0
1291;[28193];2020-12-18;739.8;51.46036375696112;4;0.0
1291;[28044, 28007];2020-12-16;5173.44;51.46036375696112;2;-0.5
1291;[27680, 27675];2020-12-11;6315.9400000000005;51.46036375696112;4;-1.5
1291;[27352, 27169];2020-12-04;2707.16;51.46036375696112;4;-3.5
1291;[26988, 26778];2020-12-02;1593.6;51.46036375696112;2;-0.5
1291;[26494, 26470];2020-11-27;954.67;51.46036375696112;4;-1.5
1291;[26278, 26164];2020-11-25;2808.75;51.46036375696112;2;-0.5
1291;[25952, 25855];2020-11-20;2942.7;51.46036375696112;4;-1.5
1291;[25697];2020-11-18;1884.0;51.46036375696112;2;-1.0
1291;[25110, 24958];2020-11-11;5194.0;51.46036375696112;2;-0.5
1291;[24756];2020-11-06;677.782;51.46036375696112;4;-3.0
1291;[24440];2020-11-04;1264.2;51.46036375696112;2;0.0
1291;[23994];2020-10-28;186.875;51.46036375696112;2;-1.0
1291;[23427, 23258];2020-10-21;4307.13;51.46036375696112;2;-0.5
