Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
20.5.2022;4;20;[1123, 1082];8228.77;230.57877038349997;[924, 843];4-8271-2;5.0;337.11786870000003
23.5.2022;0;21;[1213];2794.48;39.476232026000005;[910];0-33-0;5.0;121.9530888
23.5.2022;0;21;[1016, 1133];11508.67;123.77887369925;[1001, 1017];0-62-2;5.0;452.9311377
23.5.2022;0;21;[1035, 1034, 1088, 1176, 1031, 1089];6933.43;283.33719069425007;[920, 919, 1032, 918, 936, 937, 939, 938];0-19025-2;5.0;431.0594133
23.5.2022;0;21;[1186, 1102, 1187, 1045, 1236];15372.43;347.41460798275;[985, 1010, 984, 899, 1003, 981];0-19113-2;5.0;682.4805033
23.5.2022;0;21;[1179, 1062, 1061, 1313, 1067, 1068];23268.62;459.59220122199997;[965, 932, 969, 1046, 961, 882, 944, 946, 947];0-19388-2;5.0;1031.1349722000002
24.5.2022;1;21;[1372, 1063, 1065, 1062, 1123, 1115];9484.6;433.04253577200006;[1041, 1042, 963, 968, 1040, 994, 967, 998, 1109, 997];1-25062-2;5.0;567.701226
25.5.2022;2;21;[1151, 1045];1210.5;158.84918135625003;[1150, 1014];2-4321-1;5.0;89.302755
25.5.2022;2;21;[];0.0;132.324647609;[];2-7057-1;5.0;0.0
25.5.2022;2;21;[1041];4441.5;231.599061001;[1149, 1052];2-13281-1;5.0;203.389365
25.5.2022;2;21;[1031, 1089, 1070, 1034, 1176];3874.09;331.3769373145;[1030, 1033, 1131, 1034, 1029];2-20431-2;5.0;253.19411789999998
26.5.2022;3;21;[1115];2648.55;197.78718268925;[1087];3-59-2;5.0;116.80030049999999
26.5.2022;3;21;[];0.0;119.594487628;[];3-9225-0;5.0;0.0
26.5.2022;3;21;[1063, 1056];870.0;405.779097724;[1108, 1192];3-20495-2;5.0;77.2797
27.5.2022;4;21;[1123];660.93;230.57877038349997;[1081];4-8271-2;5.0;46.617438299999996
30.5.2022;0;22;[];0.0;39.476232026000005;[];0-33-0;5.0;0.0
30.5.2022;0;22;[1133, 1016];16247.06;123.77887369925;[1239, 1162, 1235];0-62-2;5.0;643.5236886
30.5.2022;0;22;[1031, 1088, 1035, 1091, 1089, 1034, 1176];13332.66;283.33719069425007;[1075, 1221, 1126, 1243, 1125, 1124, 1157, 1076, 1102, 1250, 1121];0-19025-2;5.0;726.8562246000001
30.5.2022;0;22;[1187, 1102, 1186, 1350, 1045, 1236];14307.7;347.41460798275;[1093, 1322, 1323, 1261, 1172, 1090, 1167, 1097];0-19113-2;5.0;691.444887
30.5.2022;0;22;[1179, 1053, 1061, 1062, 1067, 1313, 1068];20135.85;459.59220122199997;[1107, 1118, 1190, 1175, 1110, 1061, 1127, 1064, 1272, 1137, 1129, 1179];0-19388-2;5.0;990.3568634999999
31.5.2022;1;22;[1372, 1115, 1204, 1062];7037.27;433.04253577200006;[1140, 1188, 1338, 1186, 1113, 1141];1-25062-2;5.0;388.16600370000003
1.6.2022;2;22;[1045, 1187];10338.0;158.84918135625003;[1324, 1196, 1257, 1195];2-4321-1;6.0;458.15478
1.6.2022;2;22;[1068];2513.42;132.324647609;[1279];2-7057-1;6.0;112.0288602
1.6.2022;2;22;[1213, 1084, 1041];7798.38;231.599061001;[1211, 1214, 1267];2-13281-1;6.0;345.20079780000003
1.6.2022;2;22;[1031, 1176, 1035, 1255, 1070, 1034];16276.03;331.3769373145;[1317, 1318, 1227, 1225, 1314, 1209, 1226, 1375, 1281, 1222, 1249];2-20431-2;6.0;830.7866193000001
2.6.2022;3;22;[1016];7924.0;197.78718268925;[1306];3-59-2;6.0;303.07644
2.6.2022;3;22;[1236, 1177, 1091];5313.57;119.594487628;[1319, 1313, 1260, 1331];3-9225-0;6.0;280.7421567
2.6.2022;3;22;[1065, 1062, 1056, 1179, 1204];7813.45;405.779097724;[1303, 1291, 1298, 1292, 1297, 1339, 1301, 1302];3-20495-2;6.0;462.13291950000007
3.6.2022;4;22;[1084];1526.08;230.57877038349997;[1342];4-8271-2;6.0;77.1658848
6.6.2022;0;23;[];0.0;39.476232026000005;[];0-33-0;6.0;0.0
6.6.2022;0;23;[1133, 1016];7217.88;123.77887369925;[1476, 1464];0-62-2;6.0;301.4233428
6.6.2022;0;23;[1088, 1091, 1035];2071.2400000000002;283.33719069425007;[1546, 1377, 1368, 1374];0-19025-2;6.0;166.2554844
6.6.2022;0;23;[1236, 1350, 1186, 1187, 1102];12951.380000000001;347.41460798275;[1467, 1383, 1570, 1517, 1390, 1520, 1608];0-19113-2;6.0;620.2732278
6.6.2022;0;23;[1067, 1061, 1068, 1313];9008.58;459.59220122199997;[1364, 1444, 1393, 1491];0-19388-2;6.0;411.2129598
7.6.2022;1;23;[1062, 1372, 1115, 1065, 1123];8485.67;433.04253577200006;[1426, 1398, 1653, 1422, 1360, 1432];1-25062-2;6.0;439.3090077
8.6.2022;2;23;[1187, 1045, 1151];6645.049999999999;158.84918135625003;[1523, 1571, 1524, 1724];2-4321-1;6.0;327.7567155
8.6.2022;2;23;[1067, 1371, 1068];2746.74;132.324647609;[1500, 1498, 1478, 1499];2-7057-1;6.0;190.1073894
8.6.2022;2;23;[1213, 1084, 1076, 1041];8612.34;231.599061001;[1531, 1430, 1723, 1609, 1633, 1533, 1610, 1487];2-13281-1;6.0;490.34172540000003
8.6.2022;2;23;[1034, 1255, 1070, 1089, 1176, 1035];10715.15;331.3769373145;[1544, 1437, 1676, 1545, 1602, 1502, 1550, 1503, 1625, 1606];2-20431-2;6.0;611.1519465
9.6.2022;3;23;[1115, 1016];17870.07;197.78718268925;[1662, 1596];3-59-2;6.0;677.5521717
9.6.2022;3;23;[1091, 1236];6601.3099999999995;119.594487628;[1525, 1607, 1563, 1542];3-9225-0;6.0;326.2122561
