;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;1001;1;185;2;[0, 0, 1, 0, 0]
1;1016;2;6976;3;[1, 0, 0, 1, 0]
2;1020;1;1238;3;[0, 0, 0, 1, 0]
3;1030;1;1627;3;[0, 0, 0, 1, 0]
4;1031;2;1537;0;[1, 0, 1, 0, 0]
5;1034;2;1821;2;[0, 0, 1, 0, 1]
6;1035;2;2304;4;[0, 1, 0, 0, 1]
7;1038;1;198;1;[0, 1, 0, 0, 0]
8;1041;1;1657;3;[0, 0, 0, 1, 0]
9;1045;2;2394;2;[0, 0, 1, 0, 1]
10;1050;1;782;4;[0, 0, 0, 0, 1]
11;1053;1;1175;3;[0, 0, 0, 1, 0]
12;1056;1;929;1;[0, 1, 0, 0, 0]
13;1061;2;1178;1;[0, 1, 0, 1, 0]
14;1062;3;790;0;[0, 1, 0, 1, 1]
15;1063;2;748;4;[0, 1, 0, 0, 1]
16;1064;1;2620;3;[0, 0, 0, 1, 0]
17;1065;2;2571;4;[0, 1, 0, 0, 1]
18;1067;2;1302;4;[0, 1, 0, 0, 1]
19;1068;2;4347;2;[0, 0, 1, 0, 1]
20;1070;1;2232;4;[0, 0, 0, 0, 1]
21;1074;1;712;1;[0, 1, 0, 0, 0]
22;1076;1;1115;0;[1, 0, 0, 0, 0]
23;1082;1;6516;2;[0, 0, 1, 0, 0]
24;1084;2;1132;1;[0, 1, 0, 1, 0]
25;1088;1;762;4;[0, 0, 0, 0, 1]
26;1089;2;1379;1;[0, 1, 0, 1, 0]
27;1091;2;1060;1;[0, 1, 0, 1, 0]
28;1102;1;3918;3;[0, 0, 0, 1, 0]
29;1115;3;1945;1;[1, 0, 1, 0, 1]
30;1122;1;319;0;[1, 0, 0, 0, 0]
31;1123;2;1684;1;[0, 1, 0, 1, 0]
32;1126;1;2181;1;[0, 1, 0, 0, 0]
33;1133;1;2770;1;[0, 1, 0, 0, 0]
34;1151;1;1454;3;[0, 0, 0, 1, 0]
35;1164;1;120;2;[0, 0, 1, 0, 0]
36;1165;1;6174;4;[0, 0, 0, 0, 1]
37;1176;2;1907;1;[0, 1, 0, 1, 0]
38;1177;1;571;0;[1, 0, 0, 0, 0]
39;1179;2;1687;2;[0, 0, 1, 0, 1]
40;1186;1;530;1;[0, 1, 0, 0, 0]
41;1187;2;1909;0;[1, 0, 1, 0, 0]
42;1190;1;1287;0;[1, 0, 0, 0, 0]
43;1204;2;3630;0;[1, 0, 1, 0, 0]
44;1208;1;4222;1;[0, 1, 0, 0, 0]
45;1210;1;520;0;[1, 0, 0, 0, 0]
46;1213;2;1267;0;[1, 0, 1, 0, 0]
47;1236;2;2512;0;[1, 0, 1, 0, 0]
48;1255;1;626;0;[1, 0, 0, 0, 0]
49;1313;1;3732;0;[1, 0, 0, 0, 0]
50;1350;1;2259;1;[0, 1, 0, 0, 0]
51;1371;1;1119;0;[1, 0, 0, 0, 0]
52;1372;1;802;0;[1, 0, 0, 0, 0]
