;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;0;2;3069;0;[1, 0, 1, 0, 0]
1;3;2;1175;0;[1, 0, 1, 0, 0]
2;6;3;2750;0;[0, 1, 0, 1, 1]
3;8;1;1606;0;[1, 0, 0, 0, 0]
4;10;3;821;0;[0, 1, 0, 1, 1]
5;12;3;2198;0;[0, 1, 0, 1, 1]
6;13;2;726;0;[1, 0, 1, 0, 0]
7;16;2;406;0;[1, 0, 1, 0, 0]
8;22;2;697;0;[1, 0, 1, 0, 0]
9;26;4;6720;0;[0, 1, 1, 1, 1]
10;27;2;1071;0;[1, 0, 1, 0, 0]
11;28;3;1152;0;[0, 1, 0, 1, 1]
12;29;4;2983;0;[0, 1, 1, 1, 1]
13;33;5;4879;0;[1, 1, 1, 1, 1]
14;34;2;1288;0;[1, 0, 1, 0, 0]
15;37;2;508;0;[1, 0, 1, 0, 0]
16;38;5;7816;0;[1, 1, 1, 1, 1]
17;41;3;1330;0;[0, 1, 0, 1, 1]
18;45;3;3282;0;[0, 1, 0, 1, 1]
19;47;2;810;0;[1, 0, 1, 0, 0]
20;48;5;8420;0;[1, 1, 1, 1, 1]
21;50;4;4014;0;[0, 1, 1, 1, 1]
22;51;3;837;0;[0, 1, 0, 1, 1]
23;59;3;1781;0;[0, 1, 0, 1, 1]
24;66;2;424;0;[1, 0, 1, 0, 0]
25;68;2;922;0;[1, 0, 1, 0, 0]
26;70;2;4012;0;[1, 0, 1, 0, 0]
27;73;2;1324;0;[1, 0, 1, 0, 0]
28;77;4;1799;0;[0, 1, 1, 1, 1]
29;81;2;1019;0;[1, 0, 1, 0, 0]
30;83;2;1138;0;[1, 0, 1, 0, 0]
31;87;2;1052;0;[1, 0, 1, 0, 0]
32;89;2;953;0;[1, 0, 1, 0, 0]
33;101;1;419;0;[1, 0, 0, 0, 0]
34;103;3;977;0;[0, 1, 0, 1, 1]
35;106;2;1491;0;[1, 0, 1, 0, 0]
36;107;4;2231;0;[0, 1, 1, 1, 1]
37;110;3;995;0;[0, 1, 0, 1, 1]
38;111;2;2063;0;[1, 0, 1, 0, 0]
39;115;2;2447;0;[1, 0, 1, 0, 0]
40;116;2;1466;0;[1, 0, 1, 0, 0]
41;119;3;204;0;[0, 1, 0, 1, 1]
42;121;2;1884;0;[1, 0, 1, 0, 0]
43;130;1;2662;0;[1, 0, 0, 0, 0]
44;138;3;1763;0;[0, 1, 0, 1, 1]
45;139;2;726;0;[1, 0, 1, 0, 0]
46;141;3;475;0;[0, 1, 0, 1, 1]
47;149;2;1675;0;[1, 0, 1, 0, 0]
48;150;2;1678;0;[1, 0, 1, 0, 0]
49;151;3;1842;0;[0, 1, 0, 1, 1]
50;152;4;1804;0;[0, 1, 1, 1, 1]
51;153;2;2800;0;[1, 0, 1, 0, 0]
52;156;2;412;0;[1, 0, 1, 0, 0]
53;163;2;1756;0;[1, 0, 1, 0, 0]
54;169;3;1015;0;[0, 1, 0, 1, 1]
55;172;3;948;0;[0, 1, 0, 1, 1]
56;182;2;468;0;[1, 0, 1, 0, 0]
57;183;2;4383;0;[1, 0, 1, 0, 0]
58;184;2;496;0;[1, 0, 1, 0, 0]
59;189;2;465;0;[1, 0, 1, 0, 0]
60;194;2;1577;0;[1, 0, 1, 0, 0]
61;195;2;780;0;[1, 0, 1, 0, 0]
62;198;1;1654;0;[1, 0, 0, 0, 0]
63;202;1;2148;0;[1, 0, 0, 0, 0]
64;216;2;315;0;[1, 0, 1, 0, 0]
65;218;2;331;0;[1, 0, 1, 0, 0]
66;226;2;925;0;[1, 0, 1, 0, 0]
67;234;2;648;0;[1, 0, 1, 0, 0]
68;245;1;2565;0;[1, 0, 0, 0, 0]
69;258;1;2575;0;[1, 0, 0, 0, 0]
70;266;2;896;0;[1, 0, 1, 0, 0]
71;269;1;6018;0;[1, 0, 0, 0, 0]
72;285;1;327;0;[1, 0, 0, 0, 0]
73;300;3;1904;0;[0, 1, 0, 1, 1]
74;306;2;1081;0;[1, 0, 1, 0, 0]
75;309;1;415;4;[0, 0, 0, 0, 1]
76;310;2;496;4;[0, 1, 0, 0, 1]
77;324;3;1548;0;[0, 1, 0, 1, 1]
78;337;1;585;4;[0, 0, 0, 0, 1]
79;380;1;694;4;[0, 0, 0, 0, 1]
80;402;2;1988;4;[0, 1, 0, 0, 1]
81;414;2;391;4;[0, 1, 0, 0, 1]
82;567;1;449;4;[0, 0, 0, 0, 1]
83;703;2;2614;4;[0, 1, 0, 0, 1]
