;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;1001;1;185;3;[0, 0, 0, 1, 0]
1;1016;2;6976;4;[0, 1, 0, 0, 1]
2;1020;1;1238;2;[0, 0, 1, 0, 0]
3;1030;1;1627;3;[0, 0, 0, 1, 0]
4;1031;2;1537;0;[1, 0, 1, 0, 0]
5;1034;2;1821;2;[0, 0, 1, 0, 1]
6;1035;2;2304;2;[0, 0, 1, 0, 1]
7;1038;1;198;3;[0, 0, 0, 1, 0]
8;1041;1;1657;3;[0, 0, 0, 1, 0]
9;1045;2;2394;2;[0, 0, 1, 0, 1]
10;1050;1;782;0;[1, 0, 0, 0, 0]
11;1053;1;1175;0;[1, 0, 0, 0, 0]
12;1056;1;929;3;[0, 0, 0, 1, 0]
13;1061;2;1178;1;[0, 1, 0, 1, 0]
14;1062;3;790;4;[1, 0, 1, 1, 0]
15;1063;2;748;0;[1, 0, 1, 0, 0]
16;1064;1;2620;3;[0, 0, 0, 1, 0]
17;1065;2;2571;3;[1, 0, 0, 1, 0]
18;1067;2;1302;3;[1, 0, 0, 1, 0]
19;1068;2;4347;4;[0, 1, 0, 0, 1]
20;1070;1;2232;4;[0, 0, 0, 0, 1]
21;1074;1;712;3;[0, 0, 0, 1, 0]
22;1076;1;1115;0;[1, 0, 0, 0, 0]
23;1082;1;6516;1;[0, 1, 0, 0, 0]
24;1084;2;1132;0;[1, 0, 1, 0, 0]
25;1088;1;762;3;[0, 0, 0, 1, 0]
26;1089;2;1379;3;[1, 0, 0, 1, 0]
27;1091;2;1060;4;[0, 1, 0, 0, 1]
28;1102;1;3918;4;[0, 0, 0, 0, 1]
29;1115;3;1945;1;[1, 0, 1, 0, 1]
30;1122;1;319;3;[0, 0, 0, 1, 0]
31;1123;2;1684;0;[1, 0, 1, 0, 0]
32;1126;1;2181;3;[0, 0, 0, 1, 0]
33;1133;1;2770;3;[0, 0, 0, 1, 0]
34;1151;1;1454;4;[0, 0, 0, 0, 1]
35;1164;1;120;3;[0, 0, 0, 1, 0]
36;1165;1;6174;0;[1, 0, 0, 0, 0]
37;1174;1;784;0;[1, 0, 0, 0, 0]
38;1176;2;1907;1;[0, 1, 0, 1, 0]
39;1177;1;571;3;[0, 0, 0, 1, 0]
40;1179;2;1687;2;[0, 0, 1, 0, 1]
41;1186;1;530;2;[0, 0, 1, 0, 0]
42;1187;2;1909;3;[1, 0, 0, 1, 0]
43;1190;1;1287;1;[0, 1, 0, 0, 0]
44;1204;2;3630;0;[1, 0, 1, 0, 0]
45;1208;1;4222;1;[0, 1, 0, 0, 0]
46;1210;1;520;3;[0, 0, 0, 1, 0]
47;1213;2;1267;0;[1, 0, 1, 0, 0]
48;1236;2;2512;1;[0, 1, 0, 1, 0]
49;1255;1;626;3;[0, 0, 0, 1, 0]
50;1313;1;3732;2;[0, 0, 1, 0, 0]
51;1350;1;2259;2;[0, 0, 1, 0, 0]
52;1371;1;1119;2;[0, 0, 1, 0, 0]
53;1372;1;802;3;[0, 0, 0, 1, 0]
