;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
115;1088;2;780;4;[0, 1, 0, 0, 1]
116;954;1;1654;4;[0, 0, 0, 0, 1]
117;1168;1;2148;4;[0, 0, 0, 0, 1]
118;1202;1;621;4;[0, 0, 0, 0, 1]
119;1236;2;308;4;[0, 1, 0, 0, 1]
120;1233;2;315;4;[0, 1, 0, 0, 1]
121;863;1;501;4;[0, 0, 0, 0, 1]
122;1021;2;331;4;[0, 1, 0, 0, 1]
123;1254;1;517;4;[0, 0, 0, 0, 1]
124;996;2;559;4;[0, 1, 0, 0, 1]
125;1006;2;925;4;[0, 1, 0, 0, 1]
126;1187;1;1242;4;[0, 0, 0, 0, 1]
127;1251;1;551;4;[0, 0, 0, 0, 1]
128;1146;1;263;4;[0, 0, 0, 0, 1]
129;1163;1;252;4;[0, 0, 0, 0, 1]
130;1318;2;648;4;[0, 1, 0, 0, 1]
131;1279;2;2619;4;[0, 1, 0, 0, 1]
132;1136;2;854;4;[0, 1, 0, 0, 1]
133;1241;1;388;4;[0, 0, 0, 0, 1]
134;1339;1;2565;4;[0, 0, 0, 0, 1]
135;1002;1;631;4;[0, 0, 0, 0, 1]
136;1314;1;1583;4;[0, 0, 0, 0, 1]
137;1239;1;2575;4;[0, 0, 0, 0, 1]
138;1243;2;1982;4;[0, 1, 0, 0, 1]
139;1244;1;381;4;[0, 0, 0, 0, 1]
140;1278;2;896;4;[0, 1, 0, 0, 1]
141;1110;2;2252;4;[0, 1, 0, 0, 1]
142;1081;1;617;4;[0, 0, 0, 0, 1]
143;1232;1;615;4;[0, 0, 0, 0, 1]
144;1214;2;533;4;[0, 1, 0, 0, 1]
145;1287;3;1904;4;[1, 0, 1, 1, 0]
146;1083;2;1081;4;[0, 1, 0, 0, 1]
147;1085;1;415;4;[0, 0, 0, 0, 1]
148;978;2;496;4;[0, 1, 0, 0, 1]
149;1311;2;964;4;[0, 1, 0, 0, 1]
150;1089;1;1002;4;[0, 0, 0, 0, 1]
151;1019;3;1548;4;[1, 0, 1, 1, 0]
