,Euc_Distance
0,78.56749418147875
1,51.46036375696112
2,42.327549766538915
3,101.65627700729945
4,101.65627700729945
5,21.331168122114907
6,49.57468338389478
7,31.89257518034898
8,28.78362613208983
9,31.38697050598945
10,29.7685363427645
11,33.73375042191058
12,35.48226887442577
13,11.256731115713466
14,6.920945546799614
15,38.66457178966993
16,21.331168122114907
17,8.728226331154465
18,5.927179660792162
19,36.906015040533816
20,39.16740827249901
21,41.58645993942089
22,38.13723764046
23,42.93585519434705
24,38.314163993168876
25,40.87715498089698
26,126.27219472318184
27,146.28483212705854
28,106.50249510475021
29,145.68355964536354
30,23.65424916444996
31,21.405804261874575
32,85.04837605518557
33,84.70956259094784
34,80.92790070094198
35,84.70956259094784
36,82.9753844665531
37,83.63817439219505
38,104.68224297819614
39,104.68224297819614
40,105.7145935134644
41,122.03002437786272
42,112.49471057258445
43,108.99914648000839
44,108.25998202480605
45,116.40033954108381
46,16.88607044715543
47,17.302562943101087
48,21.44345358689099
49,76.91971192010008
50,89.39952802921432
51,103.86848268102955
52,103.39522980374788
53,103.15228921513861
54,101.95424519502478
55,103.39522980374788
56,103.39522980374788
57,105.10930583499352
58,101.65627700729945
59,98.42520808007589
60,98.41299950486187
61,98.0516794277243
62,93.829499511425
63,38.65095021853625
64,33.38603150988534
65,40.44209439664968
66,39.810374732595214
67,40.62643970784477
68,33.518663826504266
69,40.44209439664968
70,71.18627250956409
71,58.0088984792715
72,59.233087562909766
73,42.327549766538915
74,80.48377876966595
75,22.51801002471953
76,19.414759132492883
77,18.810775482701473
78,112.29666847527598
79,125.37041311374973
80,111.65476503442696
81,109.91891519112322
82,122.63931224344685
83,122.77472163689583
84,109.99300036304045
85,24.132760224081586
86,33.662177114894725
87,33.145057276188105
88,36.19275426488829
89,36.19275426488829
90,22.288481180837675
91,22.86167615731109
92,21.963026149987368
93,21.331168122114907
94,55.35692139921839
95,53.247766399047556
96,45.68554225521779
97,45.84353957991468
98,48.192820680706184
99,48.76339524649007
100,46.78301296710091
101,47.37534656398681
102,58.03723703870148
103,89.01161547973665
104,73.98131618086605
105,56.551897413379635
106,101.0081695909236
107,127.46044532325548
108,129.66342281065963
109,129.1296196980314
110,127.46044532325548
111,124.85677376987859
112,72.33890920065701
113,75.24579847826908
114,78.53910541443665
115,86.95039245085735
116,95.04091851095333
117,92.29633035458242
118,95.79292113095408
119,107.31773049159862
120,89.69678023951909
121,115.7786229785741
122,115.7786229785741
123,30.352220239143243
124,31.28297664261823
125,30.524211132344842
126,26.818650075900237
127,29.7685363427645
128,55.35692139921839
129,48.44949072919388
130,67.43651063059856
131,72.33890920065701
132,66.68935416187139
133,38.05370664902886
134,76.91971192010008
135,98.58235303947737
136,80.33931753994254
137,42.39749158892248
138,66.02560937987312
139,60.33871920804173
140,42.327549766538915
141,80.48377876966595
142,41.787021902471785
143,36.18180351765365
144,94.8705382426288
145,76.91971192010008
146,90.44863559416358
147,74.6433111484595
148,86.95978877717648
149,85.66977587380946
150,74.33508426752906
151,86.95978877717648
152,71.82708057110683
153,78.53910541443665
154,72.95946350374666
155,145.238672376875
156,145.2864812277724
157,126.27219472318184
158,122.63931224344685
159,146.28483212705854
160,145.68355964536354
161,130.93545160803055
162,130.14848122123652
163,129.66342281065963
164,109.91891519112322
165,109.99300036304045
166,127.46044532325548
167,130.0904727132258
168,129.1352799800504
169,33.145057276188105
170,27.872518111966798
171,27.946412663630568
172,22.86167615731109
173,50.040955497470684
174,40.832764371325084
175,44.56191820138161
176,40.38837522950575
177,41.487579054546075
178,36.906015040533816
179,40.38837522950575
180,21.331168122114907
181,31.941715134963616
182,42.65043832300146
183,37.56957504303698
184,33.518663826504266
185,40.04721680587786
186,37.60983362278275
187,149.38518334692412
188,108.99274728403185
189,109.22566965008349
190,127.97915168879327
191,129.71238504671692
192,106.50249510475021
193,75.77653700376051
194,54.72902655092485
195,50.84093987538504
196,64.0271179598725
197,71.54111928910095
198,47.48002362178779
199,86.95039245085735
200,82.53215619444538
201,90.42234442526161
202,89.93129948537016
203,84.70956259094784
204,102.40770606479376
205,82.3725683370234
206,104.68224297819614
207,94.05324528542651
208,93.80233835386801
209,92.43215232389582
210,86.39919346698488
211,95.2327564421738
212,73.75096420853768
213,95.55121621562104
214,55.17043918567162
