;0;1016;1062;1065;1068;1204;1236
0;0.0;60.65;137.77;172.83;68.15;171.94;49.03
1016;60.65;0.0;79.66;114.72;95.89;113.83;98.36
1062;137.77;79.66;0.0;69.51;91.12;68.62;175.51
1065;172.83;114.72;69.51;0.0;126.18;1.04;210.57
1068;68.15;95.89;91.12;126.18;0.0;125.33;105.36
1204;171.94;113.83;68.62;1.04;125.33;0.0;209.68
1236;49.03;98.36;175.51;210.57;105.36;209.68;0.0
