ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
1285;40;2020-01-07;254.332;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);BUNNER STRASSE ;49632;ESSEN;4;1
991;41;2020-01-07;880.635;84.19;Trinidadstraße 44;27356;Rotenburg (Wümme);KUHLENWEG ;26904;BÖRGER;7 ;1
1226;42;2020-01-07;3784.19;132.16;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEISIGWEG ;49624;LÖNINGEN;2 ;1
1080;43;2020-01-07;476.074;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);VON LIEBIG STRASSE ;49699;LINDERN (OLDENBURG);3 ;1
1082;44;2020-01-07;12021.0;225.48;Trinidadstraße 44;27356;Rotenburg (Wümme);FARWICKER STRASSE ;49624;LÖNINGEN;23 ;1
914;45;2020-01-07;903.292;84.67;Trinidadstraße 44;27356;Rotenburg (Wümme);BERGSTRASSE ;49757;WERLTE;6 ;1
1273;46;2020-01-07;3562.5;86.48;Trinidadstraße 44;27356;Rotenburg (Wümme);GERHARD LIESEGANG STRASSE ;27404;ZEVEN;1 ;1
1;47;2020-01-07;1295.1;60.39;Trinidadstraße 44;27356;Rotenburg (Wümme);HEIDKAMP ;27404;ZEVEN;45 ;1
1208;48;2020-01-07;903.651;55.41;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLSCHENDORFER WEG ;27412;TARMSTEDT;6 ;1
1334;49;2020-01-07;14539.56;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1
537;50;2020-01-07;1233.72;88.7;Trinidadstraße 44;27356;Rotenburg (Wümme);PORSCHEWEG ;49661;CLOPPENBURG;3 ;1
1106;51;2020-01-07;9343.86;190.98;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTSTRASSE ;26689;APEN;101 ;1
1200;52;2020-01-07;7.0;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;8 ;1
556;53;2020-01-07;835.0;84.19;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER SÜDERBÄKE ;26689;APEN;2 ;1
730;54;2020-01-07;255.746;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER STRASSE ;26689;APEN;31 ;1
1052;55;2020-01-07;633.738;78.47;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;4A ;1
1052;56;2020-01-07;593.5;75.76;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;4A ;1
1148;57;2020-01-07;849.643;84.19;Trinidadstraße 44;27356;Rotenburg (Wümme);TIEGELSTRASSE ;26689;AUGUSTFEHN;7 ;1
706;58;2020-01-07;294.32;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;1
988;59;2020-01-07;1267.11;92.29;Trinidadstraße 44;27356;Rotenburg (Wümme);IHAUSENER STRASSE ;26655;WESTERSTEDE;86 ;1
579;60;2020-01-07;3712.52;127.03;Trinidadstraße 44;27356;Rotenburg (Wümme);EISENSTRASSE ;26169;FRIESOYTHE;1 ;1
1147;61;2020-01-07;4550.0;138.77;Trinidadstraße 44;27356;Rotenburg (Wümme);WILLERFANG ;26655;WESTERSTEDE;2 ;1
1223;62;2020-01-07;1364.73;91.25;Trinidadstraße 44;27356;Rotenburg (Wümme);DORFSTRASSE ;26219;BÖSEL;7;1
