;ID_Empfänger;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht;Frequenz;Nachfrage
0;997;6137.784117647058;2.0;4327.645461797732;0.8944271909999159;0.705082710445142;0.4472135954999579;11334.29;102;313026.99;2;3069
1;1291;2694.567864919735;1.5294117647058822;3425.6692565513467;1.4332193297115494;1.2713241708066574;0.9371049463498592;6504.96;78;137422.96111090647;2;1762
2;1321;9516.516019607843;1.96078431372549;10730.689645384888;1.3260585856397975;1.1275859383071871;0.6762898786762968;9868.28;100;485342.317;2;4853
3;706;2810.853494545351;2.392156862745098;2666.637299760104;1.342809463364762;0.948693094440849;0.561338382226253;10370.184092490575;122;143353.5282218129;2;1175
5;1063;2249.7466078431376;1.5098039215686274;3963.912939063541;0.7313699206176815;1.7619375112043387;0.4844138435259968;4513.637636996231;77;114737.077;2;1490
6;1245;7602.611376898292;2.764705882352941;7914.907202444509;0.9713544212926124;1.0410774416926236;0.3513409608930726;10509.78;141;387733.1802218129;3;2750
8;1120;2330.5602156862747;1.4509803921568627;2423.9399548641577;0.7826551089770276;1.0400675076101331;0.5393974399706541;5170.87;74;118858.571;1;1606
10;1222;2544.680747272676;3.0980392156862746;1634.1995064568944;0.9220607780571584;0.6422021733800548;0.2976272131703486;9272.67;158;129778.71811090648;3;821
12;1297;7155.667078431373;3.2549019607843137;4974.841147467874;1.1805615147869586;0.6952309397488672;0.3627026340610535;12786.45;166;364939.021;3;2198
13;1300;1310.4805969338404;1.803921568627451;1380.0864487790857;1.058671012980657;1.053114751952912;0.5868719745871033;4704.481729486808;92;66834.51044362586;2;726
15;1169;2568.1096078431374;1.1372549019607845;3475.307554732675;0.8250965481236061;1.353255150838932;0.7255159302466192;4592.4800000000005;58;130973.59;1;2258
16;1142;621.1250065239096;1.5294117647058822;656.7944071443352;1.1550401062555464;1.0574270883409562;0.755218531013242;3485.7952739924617;78;31677.37533271939;2;406
17;1173;1465.6706514080968;2.0980392156862746;1882.9144636587748;1.3893149673243186;1.2846777424722424;0.6621968535844883;5199.732910988692;107;74749.20322181293;2;699
18;1064;516.9683529411765;1.392156862745098;772.1706008402243;0.8961792537779263;1.4936515870790377;0.6437343935587921;3264.616455494346;71;26365.386;1;371
19;1272;2110.7406274509804;1.2941176470588236;3451.677283481756;1.1540211028756593;1.6352920101083892;0.8917435794948276;4407.51;66;107647.772;1;1631
20;1315;3099.6299019607845;1.5490196078431373;5682.253637484981;1.205217415907953;1.8332039040823755;0.7780517495101974;5572.51;79;158081.125;2;2001
21;1184;613.5597494473124;1.411764705882353;1027.859813020313;0.9203579866168444;1.675239964724213;0.6519202405202649;3306.65;72;31291.54722181293;1;435
22;1024;1133.5866274509806;1.6274509803921569;1147.6544157743822;1.1306773954355944;1.012409980836696;0.6947535803278954;4906.21;83;57812.918;2;697
