;ID_Empfänger;ID_Empfänger.1;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht
0;0;997;6137.784117647058;2.0;4327.645461797732;0.8944271909999159;0.705082710445142;0.4472135954999579;11334.29;102;313026.99
3;3;706;2810.853494545351;2.392156862745098;2666.637299760104;1.342809463364762;0.948693094440849;0.561338382226253;10370.184092490575;122;143353.5282218129
10;10;1222;2544.680747272676;3.0980392156862746;1634.1995064568944;0.9220607780571584;0.6422021733800548;0.2976272131703486;9272.67;158;129778.71811090648
12;12;1297;7155.667078431373;3.2549019607843137;4974.841147467874;1.1805615147869586;0.6952309397488672;0.3627026340610535;12786.45;166;364939.021
26;26;1337;28064.1065315864;4.176470588235294;11359.152794504636;0.841567165541555;0.4047573287864985;0.2015019973831892;35127.47;213;1431269.4331109065
27;27;1389;2646.8100021746363;2.4705882352941178;2244.516212866231;1.3468918468306292;0.8480080591436944;0.5451705094314452;10944.59;126;134987.31011090646
28;28;1329;3500.2588257040484;3.0392156862745097;2480.584877972073;1.3410560661467588;0.708686129081647;0.4412507056353851;13477.00527399246;155;178513.20011090647
29;29;1269;11345.837901960782;3.803921568627451;6624.820104781793;1.058671012980657;0.5838987091148988;0.2783104209382139;23115.22;194;578637.733
33;33;1281;22770.55784313725;4.666666666666667;13167.264596507805;1.570562531918633;0.5782583231915086;0.3365491139825641;27694.59;238;1161298.45
34;34;1282;2550.395141604175;1.9803921568627447;2549.3136249433983;0.8121624487362458;0.99957594153034;0.4101018305499854;8255.78;101;130070.15222181292
37;37;1252;886.3246710159398;1.7450980392156863;791.7755665495298;0.716746461586019;0.8933245259234022;0.410719882481876;6056.16;89;45202.55822181293
38;38;1284;39234.2896688413;5.019607843137255;17520.107656455766;1.4211290733558493;0.446550907492782;0.2831155575826106;42258.09881849812;256;2000948.7731109064
45;45;1273;11004.457376898292;3.3529411764705883;6835.324656387799;0.9343132111185136;0.6211414540745306;0.2786548173511356;13016.26763699623;171;561227.326221813
48;48;1334;42264.42850980392;5.019607843137255;20756.97205448029;1.3340194313192195;0.4911215598163211;0.2657616835831258;40163.79;256;2155485.854
50;50;1106;15739.707882352945;3.92156862745098;10404.290084685772;1.2303355193588774;0.6610218031016231;0.3137355574365137;25475.06;200;802725.102
51;51;1200;2446.247089304556;2.92156862745098;1871.854111341904;1.0925774527218095;0.7651942109715719;0.373969463683304;11811.625821977384;149;124758.60155453232
59;59;1223;4994.390786488362;2.803921568627451;4138.37936667145;1.1492538073574046;0.828605438298354;0.4098737354911023;13355.45;143;254713.93011090645
66;66;1299;1014.974420463252;2.392156862745098;948.9297566071303;1.0597817015319526;0.9349297257895646;0.44302349818139;5765.74;122;51763.69544362586
68;68;902;1717.1982941176473;1.862745098039216;1479.1253045999356;1.0773970084075275;0.8613596400990828;0.5783920781977254;6731.81;95;87577.113
73;73;1326;2804.1489019607848;2.117647058823529;2359.912522159449;1.0128585058838064;0.8415788906606543;0.4782942944451308;6482.086455494346;108;143011.594
