;ID_Empfänger;ID_Empfänger.1;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht
183;183;1263;9282.683666666668;2.117647058823529;5818.942320399754;0.6825557507934252;0.626859917816125;0.3223179934302286;13660.08;108;473416.867
184;184;1174;787.7100413903228;1.588235294117647;665.2399617480974;0.8526774440135095;0.8445239070127081;0.5368709832677653;5056.235273992462;81;40173.21211090646
189;189;1197;828.8262614258704;1.7843137254901962;667.8065182163114;0.8321953013613109;0.8057255775986769;0.4663951688948006;5550.422910988693;91;42270.1393327194
194;194;1316;3277.70696295895;2.07843137254902;2672.633000202157;1.1285944755296646;0.8153971756491121;0.5430030023774801;7392.78;106;167163.05511090645
195;195;1088;1177.7141176470589;1.5098039215686274;1038.0923990162464;0.9246090853892328;0.8814468498435248;0.6124034201928685;4505.26;77;60063.42
202;202;1168;2695.5280784313727;1.2549019607843137;1618.8342181087953;0.5601120336112039;0.6005629216264201;0.4463392767839281;6369.61;64;137471.932
216;216;1233;666.6191786452248;2.117647058823529;652.6298414602371;1.1071957157346557;0.9790144993826636;0.5228424213191429;4897.36;108;33997.57811090646
234;234;1318;1385.9214705882357;2.1372549019607843;1195.5723733533216;0.8948655282920949;0.8626552071856404;0.4186985499348334;7080.557636996231;109;70681.995
269;269;1178;5309.97568627451;0.8823529411764706;5159.47153325503;0.7911272672213848;0.9716563385763686;0.8966109028509028;7409.52;45;270808.76
300;300;1287;6496.001549019609;3.411764705882353;6147.087941965721;1.6146389142868482;0.9462879427566412;0.4732562334978693;16009.06936648304;174;331296.079
306;306;1083;2035.0570021746369;1.8823529411764703;1659.8685192384269;0.8401680504168059;0.8156373592802127;0.4463392767839281;7115.665273992462;96;103787.90711090648
309;309;1085;512.1591786452248;1.2352941176470589;509.2590806866596;0.90748521297303;0.9943375066200384;0.7346308866924528;3967.078184981154;63;26120.118110906464
310;310;978;855.4911241709684;1.7254901960784317;711.6390412998809;0.9813955649492008;0.8318485384515352;0.5687633387773776;6348.414092490577;88;43630.04733271939
324;324;1019;4128.38965575737;2.6666666666666665;3863.494985949524;1.6812693617224654;0.93583583627131;0.6304760106459246;9264.6;136;210547.87244362585
337;337;1209;516.6014727628718;0.8823529411764706;508.8972007250183;0.4311407576896163;0.9850866239373076;0.4886261920482318;2307.326455494346;45;26346.675110906464
703;703;1149;5894.223862745098;2.2549019607843137;5452.634531801808;1.2937254307603596;0.9250810045179332;0.5737391040763334;12402.93;115;300605.417
