;ID_Empfänger;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht
0;997;6137.784117647058;2.0;4327.645461797732;0.8944271909999159;0.705082710445142;0.4472135954999579;11334.29;102;313026.99
1;706;2810.853494545351;2.392156862745098;2666.6372997601034;1.342809463364762;0.948693094440849;0.561338382226253;10370.184092490577;122;143353.5282218129
2;1245;7602.611376898292;2.764705882352941;7914.907202444509;0.9713544212926124;1.0410774416926236;0.3513409608930726;10509.78;141;387733.1802218129
3;1120;2330.5602156862747;1.4509803921568627;2423.9399548641577;0.7826551089770276;1.0400675076101331;0.5393974399706541;5170.87;74;118858.571
4;1222;2544.680747272676;3.0980392156862746;1634.1995064568944;0.9220607780571585;0.6422021733800548;0.2976272131703486;9272.67;158;129778.71811090647
5;1297;7155.667078431373;3.2549019607843137;4974.841147467874;1.1805615147869586;0.6952309397488672;0.3627026340610535;12786.45;166;364939.021
6;1300;1310.4805969338404;1.803921568627451;1380.0864487790855;1.058671012980657;1.053114751952912;0.5868719745871033;4704.481729486808;92;66834.51044362586
7;1142;621.1250065239096;1.5294117647058822;656.7944071443352;1.1550401062555464;1.0574270883409562;0.755218531013242;3485.7952739924617;78;31677.37533271939
8;1024;1133.5866274509806;1.6274509803921569;1147.6544157743822;1.1306773954355944;1.012409980836696;0.6947535803278954;4906.21;83;57812.918
9;1337;28064.106531586396;4.176470588235294;11359.152794504636;0.841567165541555;0.40475732878649856;0.20150199738318922;35127.47;213;1431269.4331109065
10;1389;2646.8100021746363;2.4705882352941178;2244.516212866231;1.3468918468306292;0.8480080591436944;0.5451705094314452;10944.59;126;134987.31011090646
11;1329;3500.2588257040484;3.0392156862745097;2480.584877972073;1.3410560661467588;0.708686129081647;0.44125070563538515;13477.005273992461;155;178513.20011090647
12;1269;11345.837901960782;3.803921568627451;6624.820104781793;1.058671012980657;0.5838987091148988;0.27831042093821395;23115.22;194;578637.733
13;1281;22770.557843137252;4.666666666666667;13167.264596507803;1.570562531918633;0.5782583231915086;0.33654911398256415;27694.59;238;1161298.45
14;1282;2550.395141604175;1.9803921568627452;2549.3136249433983;0.8121624487362458;0.9995759415303401;0.41010183054998545;8255.78;101;130070.15222181292
15;1252;886.3246710159398;1.7450980392156863;791.7755665495298;0.716746461586019;0.8933245259234022;0.410719882481876;6056.16;89;45202.55822181293
16;1284;39234.2896688413;5.019607843137255;17520.107656455766;1.4211290733558493;0.44655090749278203;0.2831155575826106;42258.09881849812;256;2000948.7731109064
17;1226;3624.4819607843133;2.7254901960784315;3910.8185753688904;1.0407388024389024;1.0790007007022366;0.38185380521139584;12286.802910988692;139;184848.58
18;1273;11004.457376898292;3.3529411764705883;6835.324656387799;0.9343132111185136;0.6211414540745306;0.2786548173511356;13016.26763699623;171;561227.326221813
19;1208;1286.6555490196079;1.588235294117647;1354.0170874639405;0.898364527087647;1.0523539796611923;0.5656369244625926;4368.182910988692;81;65619.433
20;1334;42264.42850980392;5.019607843137255;20756.97205448029;1.3340194313192197;0.4911215598163211;0.2657616835831258;40163.79;256;2155485.854
21;1106;15739.707882352943;3.9215686274509802;10404.290084685772;1.2303355193588774;0.6610218031016231;0.31373555743651377;25475.06;200;802725.102
22;1200;2446.2470893045556;2.9215686274509802;1871.854111341904;1.0925774527218097;0.7651942109715719;0.373969463683304;11811.625821977384;149;124758.60155453233
23;1223;4994.390786488362;2.803921568627451;4138.37936667145;1.1492538073574046;0.828605438298354;0.40987373549110234;13355.45;143;254713.93011090645
24;1299;1014.974420463252;2.392156862745098;948.9297566071305;1.0597817015319526;0.9349297257895646;0.44302349818139003;5765.74;122;51763.69544362586
25;902;1717.1982941176473;1.8627450980392157;1479.1253045999356;1.0773970084075277;0.8613596400990828;0.5783920781977254;6731.81;95;87577.113
26;1004;6529.180333333333;1.6274509803921569;7031.9544449260775;1.248371488199334;1.0770041698842256;0.7670716373273015;9542.27;83;332988.197
27;1326;2804.1489019607848;2.1176470588235294;2359.912522159449;1.0128585058838064;0.8415788906606543;0.47829429444513083;6482.086455494346;108;143011.594
28;1307;7300.557806096204;4.0588235294117645;3866.8735606373357;0.967714104596649;0.5296682340366334;0.23842231562526137;20148.62645549435;207;372328.44811090647
29;1191;2566.1011808198614;2.2549019607843137;2133.1110781923126;0.8448227566750782;0.8312653819483417;0.37466052687329554;7271.88;115;130871.16022181293
30;1325;2083.97065575737;1.9803921568627452;1681.9293049868468;1.0486218780557914;0.8070791689605578;0.5295021364440134;5450.865273992462;101;106282.50344362586
31;1042;1979.728745098039;2.0784313725490198;1796.1277526539009;1.1285944755296646;0.9072595208314531;0.5430030023774801;7628.2788184981155;106;100966.166
32;1015;616.869527201014;1.4705882352941178;592.8332288229658;0.9664976187548646;0.9610350368786889;0.6572183807533079;4974.001729486808;75;31460.345887251715
33;1264;2950.029300641557;3.019607843137255;2579.1278231914584;1.1745670875421528;0.8742719343941985;0.38898000951071293;12500.26;154;150451.4943327194
34;971;2426.2021960784314;1.6274509803921569;2648.0429025284993;1.1655176414576571;1.0914353745160392;0.716161442341452;7928.56;83;123736.312
35;1397;9753.51374509804;4.372549019607843;6738.40100106289;1.0947289036784493;0.690869073153201;0.2503640093614391;19747.28;223;497429.201
36;1274;3043.529912833967;3.0588235294117645;2107.187670918996;1.0278475510674205;0.6923499131825188;0.33602708400281056;12101.55;156;155220.02555453233
37;1186;3154.631176470588;1.5294117647058822;2556.4588392689734;0.757705514734335;0.810382797943799;0.4954228365570652;7480.92;78;160886.19
