MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-3-0;0;0;9000;[4, 0];93.20666666666666;68.15;103.69436;312.57483;[1068, 0]
0-5-0;0;0;9000;[6, 0];83.59200000000001;49.03;87.97080600000001;200.67744;[1236, 0]
1-0-2;1;2;24000;[1, 0];90.7445;60.65;123.80346825;610.6265400000002;[1016, 0]
1-22-2;1;2;24000;[3, 5, 2, 0];292.1061666666667;207.43;408.66662375;548.6789100000002;[1065, 1204, 1062, 0]
2-3-0;2;0;9000;[4, 0];93.20666666666666;68.15;103.69436;312.57483;[1068, 0]
2-5-0;2;0;9000;[6, 0];83.59200000000001;49.03;87.97080600000001;200.67744;[1236, 0]
3-6-2;3;2;24000;[2, 1, 0];190.608;140.31;270.788364;717.5559300000001;[1062, 1016, 0]
4-22-2;4;2;24000;[3, 5, 2, 0];292.1061666666667;207.43;408.66662375;548.6789100000002;[1065, 1204, 1062, 0]
