ID_Empfänger;lat;lon;;
1001;47.983407471239100;11.704021344457800;;
1015;48.69263017478280;12.029005498280300;;
1016;48.4705256508735;11.968967912328600;;
1020;48.43424330654780;11.353251415784700;;
1030;47.87695108576600;11.730950013600800;;
1031;47.87904047880150;11.932641000107400;;
1034;47.84150230493690;12.349477640586900;;
1035;47.799924615106300;11.991145798256800;;
1041;48.19806954052980;11.253178542714700;;
1045;47.833551121791700;11.12930944243520;;
1050;47.950761530598600;12.840997602174800;;
1053;48.593322708122000;13.089076611771100;;
1056;48.92857685843730;12.671135828970600;;
1061;48.78605129601760;12.529371181092200;;
1062;48.83827080652600;12.473683781093500;;
1063;48.89967802432410;12.477522173568500;;
1064;48.68200545098300;11.621055742457500;;
1065;49.029465740306100;12.999065471302200;;
1067;48.18796198810050;12.375273298267000;;
1068;48.21648170915400;12.411457498267700;;
1070;47.963329892961700;12.612979813603100;;
1074;48.03931024389530;11.811891798263100;;
1076;48.28589088345180;11.189940328953600;;
1082;48.62641621585590;11.43019479827860;;
1084;48.564832480591400;10.885013698276900;;
1088;47.90029297919390;12.20238682709490;;
1089;47.89779430950770;12.222035928943400;;
1091;48.036409375438600;11.719942298263000;;
1102;47.55943360081490;11.124323527086100;;
1115;48.77444505363130;12.061648972119500;;
1123;48.50164724863830;11.604784084781800;;
1126;48.212104866777700;11.176785798267700;;
1133;48.19592996474630;11.856976669431700;;
1151;48.081472129276600;11.274630942441700;;
1164;47.885309577183800;11.93383874650570;;
1165;48.41376105868010;10.289194929273200;;
1174;48.30630601439670;11.61884386943450;;
1176;47.87768490322770;11.93087504243640;;
1177;47.884361510177600;11.71202688291700;;
1179;48.89378660057990;12.605602171298600;;
1186;47.854957563189900;11.14927974058720;;
1187;47.78295036219130;11.049571482914300;;
1190;48.546164405859900;11.507936069440900;;
1193;48.60523713314200;13.416546696429400;;
1204;49.02334945292030;13.003479228973100;;
1210;47.896636320483100;11.838448915655400;;
1213;48.19312031668980;11.469298998267100;;
1231;47.843175597505000;11.035571455929000;;
1236;47.78104491092060;11.67637021359840;;
1255;47.851298371886800;12.545782913600100;;
1273;48.15282645284900;11.445333527101500;;
1313;48.57585794189390;12.637975784783700;;
1315;47.85230726880540;11.491218069422700;;
1350;47.85304356936520;11.492902184764700;;
1371;48.16914650957470;12.14207804059550;;
1372;48.85896616227160;12.439453458216500;;
1497;48.907003265146700;11.878395669450500;;
1689;48.2047858246148;11.543435613880800;;
1708;47.766231528199400;11.357627169420400;;
1865;48.85928939303210;12.908588713626700;;
1868;47.78441273125440;12.490939542434000;;
