Recipient_ID;Shipment_ID;Loading_Date;Weekday;Weight;Euc_Distance;Freight_Cost;Frequency;Pattern;Pattern_clear
997;[27631];2020-12-11;4;394.0;78.56749418147875;67.88;2;2;[0, 0, 1, 0, 1]
997;[27491];2020-12-09;2;2715.49;78.56749418147875;114.65;2;2;[0, 0, 1, 0, 1]
997;[27041];2020-12-04;4;383.504;78.56749418147875;67.88;2;2;[0, 0, 1, 0, 1]
997;[26821];2020-12-02;2;1460.0;78.56749418147875;93.27;2;2;[0, 0, 1, 0, 1]
997;[26610, 26393];2020-11-27;4;7800.210000000001;78.56749418147875;254.4;2;2;[0, 0, 1, 0, 1]
997;[26275, 26160];2020-11-25;2;4753.4;78.56749418147875;213.95;2;2;[0, 0, 1, 0, 1]
997;[26027, 25878];2020-11-20;4;3108.23;78.56749418147875;193.38;2;2;[0, 0, 1, 0, 1]
997;[25662];2020-11-18;2;2226.21;78.56749418147875;108.91;2;2;[0, 0, 1, 0, 1]
997;[25542, 25263];2020-11-13;4;9692.439999999999;78.56749418147875;279.8;2;2;[0, 0, 1, 0, 1]
997;[25025];2020-11-11;2;1502.43;78.56749418147875;95.93;2;2;[0, 0, 1, 0, 1]
997;[24696];2020-11-06;4;1538.63;78.56749418147875;95.93;2;2;[0, 0, 1, 0, 1]
997;[24406];2020-11-04;2;2595.72;78.56749418147875;114.65;2;2;[0, 0, 1, 0, 1]
997;[24150, 24081];2020-10-30;4;8303.25;78.56749418147875;232.16000000000003;2;2;[0, 0, 1, 0, 1]
997;[23832];2020-10-28;2;576.0;78.56749418147875;72.82;2;2;[0, 0, 1, 0, 1]
997;[23531];2020-10-23;4;1311.0;78.56749418147875;91.25;2;2;[0, 0, 1, 0, 1]
997;[23306];2020-10-21;2;1172.0;78.56749418147875;86.2;2;2;[0, 0, 1, 0, 1]
997;[22734];2020-10-14;2;224.0;78.56749418147875;65.88;2;2;[0, 0, 1, 0, 1]
997;[22573];2020-10-09;4;262.2;78.56749418147875;65.88;2;2;[0, 0, 1, 0, 1]
997;[22165];2020-10-07;2;4311.41;78.56749418147875;133.72;2;2;[0, 0, 1, 0, 1]
