ID_Empf�nger;Frequency;Demand;Pattern;Pattern_clear
997;2;3069;2;[0, 0, 1, 0, 1]
706;2;1175;1;[0, 1, 0, 1, 0]
1245;3;2750;1;[1, 0, 1, 0, 1]
1120;1;1606;3;[0, 0, 0, 1, 0]
1222;3;821;4;[1, 0, 1, 1, 0]
1297;3;2198;0;[0, 1, 0, 1, 1]
1300;2;726;3;[1, 0, 0, 1, 0]
1142;2;406;2;[0, 0, 1, 0, 1]
1024;2;697;2;[0, 0, 1, 0, 1]
1337;4;6720;1;[1, 0, 1, 1, 1]
1389;2;1071;3;[1, 0, 0, 1, 0]
1329;3;1152;3;[0, 1, 1, 0, 1]
1269;4;2983;4;[1, 1, 1, 1, 0]
1281;5;4879;0;[1, 1, 1, 1, 1]
1282;2;1288;1;[0, 1, 0, 1, 0]
1252;2;508;2;[0, 0, 1, 0, 1]
1284;5;7816;0;[1, 1, 1, 1, 1]
1226;3;1330;3;[0, 1, 1, 0, 1]
1273;3;3282;2;[1, 1, 0, 1, 0]
1208;2;810;4;[0, 1, 0, 0, 1]
1334;5;8420;0;[1, 1, 1, 1, 1]
1106;4;4014;1;[1, 0, 1, 1, 1]
1200;3;837;0;[0, 1, 0, 1, 1]
1223;3;1781;1;[1, 0, 1, 0, 1]
1299;2;424;2;[0, 0, 1, 0, 1]
902;2;922;2;[0, 0, 1, 0, 1]
1004;2;4012;3;[1, 0, 0, 1, 0]
1326;2;1324;2;[0, 0, 1, 0, 1]
1307;4;1799;1;[1, 0, 1, 1, 1]
1170;2;1019;3;[1, 0, 0, 1, 0]
1191;2;1138;1;[0, 1, 0, 1, 0]
1325;2;1052;0;[1, 0, 1, 0, 0]
1042;2;953;4;[0, 1, 0, 0, 1]
1015;1;419;1;[0, 1, 0, 0, 0]
1264;3;977;0;[0, 1, 0, 1, 1]
971;2;1491;2;[0, 0, 1, 0, 1]
1397;4;2231;3;[1, 1, 1, 0, 1]
1274;3;995;0;[0, 1, 0, 1, 1]
1186;2;2063;0;[1, 0, 1, 0, 0]
1331;2;2447;0;[1, 0, 1, 0, 0]
1101;2;1466;2;[0, 0, 1, 0, 1]
1116;3;204;1;[1, 0, 1, 0, 1]
1310;2;1884;2;[0, 0, 1, 0, 1]
1018;1;2662;1;[0, 1, 0, 0, 0]
1255;3;1763;0;[0, 1, 0, 1, 1]
1145;2;726;1;[0, 1, 0, 1, 0]
1137;3;475;0;[0, 1, 0, 1, 1]
1304;2;1675;3;[1, 0, 0, 1, 0]
1235;2;1678;4;[0, 1, 0, 0, 1]
1288;3;1842;2;[1, 1, 0, 1, 0]
1293;4;1804;2;[1, 1, 0, 1, 1]
1317;2;2800;0;[1, 0, 1, 0, 0]
1130;2;412;2;[0, 0, 1, 0, 1]
1328;2;1756;2;[0, 0, 1, 0, 1]
1292;3;1015;2;[1, 1, 0, 1, 0]
1250;3;948;3;[0, 1, 1, 0, 1]
1076;2;468;2;[0, 0, 1, 0, 1]
1263;2;4383;3;[1, 0, 0, 1, 0]
1174;2;496;2;[0, 0, 1, 0, 1]
1197;2;465;2;[0, 0, 1, 0, 1]
1316;2;1577;2;[0, 0, 1, 0, 1]
1088;2;780;2;[0, 0, 1, 0, 1]
954;1;1654;1;[0, 1, 0, 0, 0]
1168;1;2148;1;[0, 1, 0, 0, 0]
1233;2;315;2;[0, 0, 1, 0, 1]
1021;2;331;2;[0, 0, 1, 0, 1]
1006;2;925;3;[1, 0, 0, 1, 0]
1318;2;648;0;[1, 0, 1, 0, 0]
1339;1;2565;1;[0, 1, 0, 0, 0]
1239;1;2575;1;[0, 1, 0, 0, 0]
1278;2;896;1;[0, 1, 0, 1, 0]
1178;1;6018;1;[0, 1, 0, 0, 0]
1221;1;327;4;[0, 0, 0, 0, 1]
1287;3;1904;1;[1, 0, 1, 0, 1]
1083;2;1081;1;[0, 1, 0, 1, 0]
1085;1;415;1;[0, 1, 0, 0, 0]
978;2;496;3;[1, 0, 0, 1, 0]
1019;3;1548;1;[1, 0, 1, 0, 1]
1209;1;585;1;[0, 1, 0, 0, 0]
1289;1;694;1;[0, 1, 0, 0, 0]
1036;2;1988;1;[0, 1, 0, 1, 0]
1125;2;391;2;[0, 0, 1, 0, 1]
1138;1;449;1;[0, 1, 0, 0, 0]
1149;2;2614;1;[0, 1, 0, 1, 0]
