ID_Empf�nger;Frequency;Demand;Pattern;Pattern_clear
997;2;3069;0;[1, 0, 1, 0, 0]
706;2;1175;0;[1, 0, 1, 0, 0]
1245;3;2750;0;[0, 1, 0, 1, 1]
1120;1;1606;0;[1, 0, 0, 0, 0]
1222;3;821;0;[0, 1, 0, 1, 1]
1297;3;2198;3;[0, 1, 1, 0, 1]
1300;2;726;3;[1, 0, 0, 1, 0]
1142;2;406;2;[0, 0, 1, 0, 1]
1024;2;697;2;[0, 0, 1, 0, 1]
1337;4;6720;1;[1, 0, 1, 1, 1]
1389;2;1071;1;[0, 1, 0, 1, 0]
1329;3;1152;3;[0, 1, 1, 0, 1]
1269;4;2983;3;[1, 1, 1, 0, 1]
1281;5;4879;0;[1, 1, 1, 1, 1]
1282;2;1288;3;[1, 0, 0, 1, 0]
1252;2;508;3;[1, 0, 0, 1, 0]
1284;5;7816;0;[1, 1, 1, 1, 1]
1226;3;1330;4;[1, 0, 1, 1, 0]
1273;3;3282;0;[0, 1, 0, 1, 1]
1208;2;810;1;[0, 1, 0, 1, 0]
1334;5;8420;0;[1, 1, 1, 1, 1]
1106;4;4014;3;[1, 1, 1, 0, 1]
1200;3;837;0;[0, 1, 0, 1, 1]
1223;3;1781;4;[1, 0, 1, 1, 0]
1299;2;424;2;[0, 0, 1, 0, 1]
902;2;922;2;[0, 0, 1, 0, 1]
1004;2;4012;4;[0, 1, 0, 0, 1]
1326;2;1324;2;[0, 0, 1, 0, 1]
1307;4;1799;3;[1, 1, 1, 0, 1]
1191;2;1138;4;[0, 1, 0, 0, 1]
1325;2;1052;1;[0, 1, 0, 1, 0]
1042;2;953;1;[0, 1, 0, 1, 0]
1015;1;419;2;[0, 0, 1, 0, 0]
1264;3;977;1;[1, 0, 1, 0, 1]
971;2;1491;2;[0, 0, 1, 0, 1]
1397;4;2231;1;[1, 0, 1, 1, 1]
1274;3;995;4;[1, 0, 1, 1, 0]
1186;2;2063;3;[1, 0, 0, 1, 0]
1331;2;2447;1;[0, 1, 0, 1, 0]
1101;2;1466;0;[1, 0, 1, 0, 0]
1116;3;204;1;[1, 0, 1, 0, 1]
1310;2;1884;2;[0, 0, 1, 0, 1]
1018;1;2662;3;[0, 0, 0, 1, 0]
1255;3;1763;2;[1, 1, 0, 1, 0]
1145;2;726;4;[0, 1, 0, 0, 1]
1137;3;475;4;[1, 0, 1, 1, 0]
1304;2;1675;3;[1, 0, 0, 1, 0]
1235;2;1678;2;[0, 0, 1, 0, 1]
1288;3;1842;2;[1, 1, 0, 1, 0]
1293;4;1804;4;[1, 1, 1, 1, 0]
1317;2;2800;1;[0, 1, 0, 1, 0]
1130;2;412;1;[0, 1, 0, 1, 0]
1328;2;1756;1;[0, 1, 0, 1, 0]
1292;3;1015;4;[1, 0, 1, 1, 0]
1250;3;948;3;[0, 1, 1, 0, 1]
1263;2;4383;0;[1, 0, 1, 0, 0]
1174;2;496;1;[0, 1, 0, 1, 0]
1197;2;465;1;[0, 1, 0, 1, 0]
1316;2;1577;0;[1, 0, 1, 0, 0]
1088;2;780;1;[0, 1, 0, 1, 0]
954;1;1654;1;[0, 1, 0, 0, 0]
1168;1;2148;1;[0, 1, 0, 0, 0]
1233;2;315;3;[1, 0, 0, 1, 0]
1021;2;331;0;[1, 0, 1, 0, 0]
1006;2;925;2;[0, 0, 1, 0, 1]
1318;2;648;2;[0, 0, 1, 0, 1]
1339;1;2565;1;[0, 1, 0, 0, 0]
1239;1;2575;0;[1, 0, 0, 0, 0]
1278;2;896;1;[0, 1, 0, 1, 0]
1178;1;6018;4;[0, 0, 0, 0, 1]
1221;1;327;3;[0, 0, 0, 1, 0]
1287;3;1904;3;[0, 1, 1, 0, 1]
1083;2;1081;4;[0, 1, 0, 0, 1]
1085;1;415;4;[0, 0, 0, 0, 1]
978;2;496;4;[0, 1, 0, 0, 1]
1019;3;1548;4;[1, 0, 1, 1, 0]
1209;1;585;2;[0, 0, 1, 0, 0]
1289;1;694;4;[0, 0, 0, 0, 1]
1036;2;1988;1;[0, 1, 0, 1, 0]
1125;2;391;3;[1, 0, 0, 1, 0]
1149;2;2614;3;[1, 0, 0, 1, 0]
