Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;Monat
23.5.2022;0;21;[1035, 1034, 1255, 1176, 1031, 1089];5746,039999999999;397,6676935;[920, 919, 901, 918, 936, 939, 938];5,0
23.5.2022;0;21;[1372, 1063, 1065, 1062, 1123, 1204];17165,96;519,6696119999998;[933, 1041, 1042, 963, 932, 994, 924, 967, 883, 884];5,0
24.5.2022;1;21;[1041];4372,0;277,930807;[1052];5,0
24.5.2022;1;21;[1062, 1179, 1061, 1053, 1313, 1067, 1068];23156,25;551,53021;[968, 965, 1040, 969, 1046, 1061, 1064, 961, 944, 946, 947];5,0
25.5.2022;2;21;[1115, 1016];9921,0;237,35263475;[998, 997, 1001];5,0
25.5.2022;2;21;[1031, 1089, 1088, 1034, 1176];4683,780000000001;340,01850575;[1030, 1033, 1032, 1125, 1034, 1029];5,0
25.5.2022;2;21;[1102, 1045, 1236, 1350];12411,25;416,91328525;[1010, 1014, 1003, 1097];5,0
26.5.2022;3;21;[];0,0;158,79640700000002;[];5,0
26.5.2022;3;21;[];0,0;276,7043125;[];5,0
26.5.2022;3;21;[1179, 1056];902,0;485,41198475;[1107, 1192];5,0
27.5.2022;4;21;[];0,0;47,373788;[];5,0
27.5.2022;4;21;[1187, 1151, 1045];2062,8;190,62726375000003;[1093, 1150, 1172, 1090];5,0
30.5.2022;0;22;[1133, 1016];7967,0599999999995;148,54006475;[1239, 1162];5,0
30.5.2022;0;22;[1177, 1091, 1236];6206,63;143,519992;[1313, 1157, 1102, 1167];5,0
30.5.2022;0;22;[1031, 1070, 1035, 1089, 1255, 1034, 1176];10357,6;397,6676935;[1075, 1131, 1126, 1124, 1209, 1076, 1281, 1121];5,0
30.5.2022;0;22;[1372, 1063, 1123, 1062, 1204, 1115];8799,84;519,6696119999998;[1140, 1188, 1108, 1338, 1081, 1110, 1113, 1109, 1087];5,0
31.5.2022;1;22;[1041, 1213, 1084];7867,88;277,930807;[1149, 1211, 1214, 1267];5,0
31.5.2022;1;22;[1053, 1179, 1061, 1067, 1062, 1068, 1313];19631,379999999997;551,53021;[1118, 1190, 1175, 1127, 1272, 1137, 1141, 1129, 1179];5,0
1.6.2022;2;22;[1115, 1016];17668,5;237,35263475;[1186, 1306, 1235];6,0
1.6.2022;2;22;[1031, 1088, 1176, 1035, 1091, 1034];19133,14;340,01850575;[1317, 1221, 1318, 1227, 1377, 1225, 1243, 1314, 1226, 1250, 1222, 1331, 1249];6,0
1.6.2022;2;22;[1236, 1102, 1186, 1350, 1187, 1045];11321,65;416,91328525;[1319, 1322, 1323, 1261, 1383, 1260, 1196, 1257, 1195];6,0
2.6.2022;3;22;[1371, 1068];3689,42;158,79640700000002;[1478, 1279];6,0
2.6.2022;3;22;[1084];1526,08;276,7043125;[1342];6,0
2.6.2022;3;22;[1065, 1062, 1056, 1179, 1204];7813,45;485,41198475;[1303, 1291, 1298, 1292, 1297, 1339, 1301, 1302];6,0
3.6.2022;4;22;[];0,0;47,373788;[];6,0
3.6.2022;4;22;[1045, 1187];3792,22;190,62726375000003;[1324, 1390];6,0
6.6.2022;0;23;[1133];1457,88;148,54006475;[1476];6,0
6.6.2022;0;23;[1091];560,0;143,519992;[1368];6,0
6.6.2022;0;23;[1255, 1070, 1035];3606,27;397,6676935;[1437, 1502, 1374, 1375];6,0
6.6.2022;0;23;[1115, 1065, 1123];7443,13;519,6696119999998;[1422, 1360, 1432];6,0
7.6.2022;1;23;[1213, 1084, 1041, 1076];3682,62;277,930807;[1531, 1430, 1633, 1533, 1610];6,0
7.6.2022;1;23;[1062, 1067, 1061, 1068, 1313];9600,119999999999;551,53021;[1426, 1398, 1364, 1444, 1393, 1491];6,0
8.6.2022;2;23;[1016];21274,89;237,35263475;[1464, 1596];6,0
8.6.2022;2;23;[1088, 1034, 1091, 1089, 1176, 1035];9585,72;340,01850575;[1546, 1544, 1525, 1545, 1602, 1550, 1503, 1563, 1606];6,0
8.6.2022;2;23;[1236, 1187, 1186, 1350, 1045, 1102];18335,08;416,91328525;[1467, 1523, 1607, 1570, 1517, 1638, 1524, 1520, 1542, 1608];6,0
9.6.2022;3;23;[1067, 1371, 1068];1570,74;158,79640700000002;[1500, 1498, 1499];6,0
2022-06-09 00:00:00;3;23;1084;3282,57;139,18754669999998;1578;6,0
2022-06-09 00:00:00;3;23;1084;3542,0;148,34802;1487;6,0
2022-06-09 00:00:00;3;23;1082;6070,39;237,62547090000004;1746;6,0
9.6.2022;3;23;[1082];23123,84;276,7043125;[1733];6,0
9.6.2022;3;23;[1056, 1061, 1062, 1179, 1065, 1204];15304,920000000002;485,41198475;[1787, 1654, 1556, 1505, 1512, 1513, 1658, 1560, 1511, 1559, 1679];6,0
10.6.2022;4;23;[1213];1393,0;47,373788;[1639, 1609];6,0
2022-06-10 00:00:00;4;23;1151;2855,44;124,1055864;1724;6,0
10.6.2022;4;23;[1151, 1187, 1045];11335,33;190,62726375000003;[1744, 1694, 1636, 1571, 1695];6,0
13.6.2022;0;24;[1133];1941,32;148,54006475;[1725];6,0
13.6.2022;0;24;[1236];114,0;143,519992;[1689];6,0
13.6.2022;0;24;[1034, 1255, 1070, 1031, 1089, 1035, 1176];12471,880000000001;397,6676935;[1629, 1772, 1676, 1699, 1701, 1628, 1625, 1698, 1702];6,0
13.6.2022;0;24;[1372, 1123, 1115, 1065, 1063, 1204];14487,15;519,6696119999998;[1681, 1653, 1745, 1779, 1662, 1671, 1683, 1672];6,0
14.6.2022;1;24;[1213, 1076, 1126];3770,88;277,930807;[1716, 1760, 1761, 1723, 1849];6,0
14.6.2022;1;24;[1062, 1061, 1067, 1068];12247,37;551,53021;[1680, 1781, 1668, 1780, 1673, 1674];6,0
15.6.2022;2;24;[1016];8660,67;237,35263475;[1770];6,0
15.6.2022;2;24;[1088, 1035];1923,53;340,01850575;[1825, 1776];6,0
15.6.2022;2;24;[1186, 1350, 1045];6695,99;416,91328525;[1757, 1841, 1758];6,0
16.6.2022;3;24;[];0,0;158,79640700000002;[];6,0
16.6.2022;3;24;[1082];5515,0;276,7043125;[1946];6,0
16.6.2022;3;24;[1056, 1179, 1061];3176,18;485,41198475;[1815, 1813, 1812];6,0
17.6.2022;4;24;[1213];146,22;47,373788;[1851];6,0
2022-06-17 00:00:00;4;24;1045;13433,38;497,6126478;1838;6,0
17.6.2022;4;24;[1187, 1151, 1045];9805,5;190,62726375000003;[1903, 1866, 1902, 2044, 1839];6,0
20.6.2022;0;25;[1133, 1016];12598,53;148,54006475;[2055, 1877, 1916];6,0
20.6.2022;0;25;[1177, 1091, 1236];7169,08;143,519992;[1932, 1860, 1898];6,0
20.6.2022;0;25;[1255, 1089, 1070, 1034, 1035, 1031];22869,52;397,6676935;[2106, 1821, 1926, 1884, 2036, 1885, 1886, 1824, 1881, 1896, 1820];6,0
20.6.2022;0;25;[1123, 1372, 1204, 1063, 1065, 1115];20969,65;519,6696119999998;[1791, 1991, 1950, 1811, 1873, 1890, 1874, 1800];6,0
21.6.2022;1;25;[1084, 1126, 1213];10729,970000000001;277,930807;[1943, 2154, 2077, 1864, 2038];6,0
2022-06-21 00:00:00;1;25;1313;11020,52;412,4145612;1974;6,0
21.6.2022;1;25;[1053, 1179, 1067, 1068];23103,609999999997;551,53021;[2140, 1977, 1907, 1915, 1888, 1891, 1875];6,0
22.6.2022;2;25;[1115, 1016];21506,7;237,35263475;[2096, 2074, 1958];6,0
22.6.2022;2;25;[1031, 1034, 1035, 1091, 1088];6564,72;340,01850575;[2110, 2107, 2104, 1931, 2016, 2026, 1934, 2013, 2017];6,0
22.6.2022;2;25;[1045, 1187, 1186, 1236, 1350];9286,53;416,91328525;[1981, 2022, 2093, 2021, 1968, 2024, 1970];6,0
23.6.2022;3;25;[1371, 1068];8956,46;158,79640700000002;[2053, 2229, 2068, 2029];6,0
23.6.2022;3;25;[1084, 1123];828,02;276,7043125;[2125, 2065, 2061];6,0
23.6.2022;3;25;[1065, 1056, 1179, 1061, 1062, 1204, 1063];10288,55;485,41198475;[2001, 1997, 2000, 1996, 1993, 2143, 1992, 2098, 2002, 2099];6,0
24.6.2022;4;25;[1213];1801,8;47,373788;[2147];6,0
2022-06-24 00:00:00;4;25;1045;1615,0;80,30565;2129;6,0
2022-06-24 00:00:00;4;25;1045;2245,38;102,5643678;2094;6,0
24.6.2022;4;25;[1151, 1045, 1187];11979,0;190,62726375000003;[2244, 2209, 2208, 2092];6,0
27.6.2022;0;26;[1016];2304,0;148,54006475;[2175];6,0
27.6.2022;0;26;[1177, 1091, 1236];3607,81;143,519992;[2184, 2163, 2221];6,0
27.6.2022;0;26;[1035, 1089, 1031, 1176, 1070];23453,83;397,6676935;[2197, 2182, 2196, 2194, 2262, 2203, 2183, 2180, 2193];6,0
27.6.2022;0;26;[1115, 1063, 1065, 1062, 1123, 1204];16511,870000000003;519,6696119999998;[2112, 2144, 2189, 2237, 2145, 2120, 2188, 2187, 2111];6,0
28.6.2022;1;26;[1213];306,0;277,930807;[2299];6,0
28.6.2022;1;26;[1179, 1067, 1053, 1062, 1068];8113,71;551,53021;[2236, 2199, 2256, 2238, 2200, 2212];6,0
29.6.2022;2;26;[];0,0;237,35263475;[];6,0
29.6.2022;2;26;[1088, 1176, 1089, 1031, 1035];13242,330000000002;340,01850575;[2384, 2271, 2266, 2270, 2268, 2319, 2267];6,0
29.6.2022;2;26;[1350, 1236, 1102];11004,71;416,91328525;[2307, 2311, 2304, 2417];6,0
30.6.2022;3;26;[1371];792,0;158,79640700000002;[2263];6,0
30.6.2022;3;26;[1084, 1123, 1082];5109,55;276,7043125;[2343, 2290, 2342];6,0
30.6.2022;3;26;[1056, 1061, 1062, 1179, 1204];5028,0599999999995;485,41198475;[2387, 2357, 2488, 2318, 2356, 2314, 2248, 2246];6,0
1.7.2022;4;26;[];0,0;47,373788;[];7,0
1.7.2022;4;26;[1187, 1045, 1151];11203,64;190,62726375000003;[2332, 2330, 2422, 2559, 2420];7,0
4.7.2022;0;27;[1133, 1016];22448,440000000002;148,54006475;[2492, 2329];7,0
4.7.2022;0;27;[1177, 1091];1908,5;143,519992;[2470, 2380, 2322];7,0
4.7.2022;0;27;[1035, 1089, 1070, 1034];9617,24;397,6676935;[2353, 2350, 2386, 2514, 2374, 2385];7,0
4.7.2022;0;27;[1372, 1063, 1123, 1115, 1204, 1065];14112,970000000001;519,6696119999998;[2483, 2392, 2341, 2366, 2437, 2423, 2363, 2362];7,0
5.7.2022;1;27;[1041, 1213, 1076, 1126, 1084];11755,41;277,930807;[2515, 2409, 2408, 2403, 2475, 2677, 2516, 2445, 2517, 2472, 2679];7,0
2022-07-05 00:00:00;1;27;1067;1616,0;80,34096;2393;7,0
5.7.2022;1;27;[1061, 1062, 1179, 1313, 1068];23613,24;551,53021;[2486, 2390, 2484, 2487, 2391, 2458, 2395];7,0
2022-07-06 00:00:00;2;27;1115;1460,84;74,86226040000001;2633;7,0
6.7.2022;2;27;[1115, 1016];22787,25;237,35263475;[2451, 2632, 2453, 2634];7,0
6.7.2022;2;27;[1176, 1091, 1089, 1088, 1034, 1035];20236,059999999998;340,01850575;[2536, 2495, 2541, 2540, 2740, 2621, 2469, 2537];7,0
2022-07-06 00:00:00;2;27;1045;3578,5;149,63683500000002;2560;7,0
6.7.2022;2;27;[1187, 1350, 1236, 1186, 1102];23002,199999999997;416,91328525;[2561, 2717, 2684, 2610, 2602, 2716, 2555];7,0
7.7.2022;3;27;[1067, 1068];8490,17;158,79640700000002;[2656, 2507, 2508];7,0
7.7.2022;3;27;[1082];3441,05;276,7043125;[2660];7,0
7.7.2022;3;27;[1056, 1061, 1065, 1179, 1062, 1063, 1204];15563,47;485,41198475;[2789, 2647, 2505, 2591, 2498, 2691, 2499, 2627, 2565, 2502, 2504, 2646];7,0
8.7.2022;4;27;[1213];2794,48;47,373788;[2593];7,0
8.7.2022;4;27;[1151, 1187];8553,619999999999;190,62726375000003;[2757, 2689];7,0
11.7.2022;0;28;[1016, 1133];11273,25;148,54006475;[2652, 2806];7,0
11.7.2022;0;28;[1177, 1236, 1091];2014,96;143,519992;[2907, 2718, 2725, 2658];7,0
11.7.2022;0;28;[1255, 1070, 1034, 1035];8617,279999999999;397,6676935;[2666, 2884, 2668, 2683, 2739];7,0
11.7.2022;0;28;[1123, 1372, 1062, 1065, 1204];19706,489999999998;519,6696119999998;[2743, 2785, 2697, 2707, 2698, 2708, 2644];7,0
12.7.2022;1;28;[1076, 1084];1496,54;277,930807;[3000, 2850, 2797];7,0
12.7.2022;1;28;[1061, 1062, 1068, 1053, 1313];11309,789999999999;551,53021;[2736, 2786, 2751, 2824, 2782, 2990];7,0
13.7.2022;2;28;[1016];3649,82;237,35263475;[2820];7,0
13.7.2022;2;28;[1088, 1035, 1091, 1089, 1031, 1176, 1034];13174,5;340,01850575;[3043, 3012, 2905, 2872, 2843, 2841, 2839, 2902, 2844, 2903];7,0
13.7.2022;2;28;[1186, 1236, 1102, 1350];21350,5;416,91328525;[2971, 2837, 2918, 2925, 2833, 2923, 3024];7,0
14.7.2022;3;28;[1371, 1067, 1068];9971,5;158,79640700000002;[3076, 2898, 2859, 2862];7,0
14.7.2022;3;28;[1084, 1082, 1123];13221,6;276,7043125;[2953, 3101, 2893, 2950];7,0
14.7.2022;3;28;[1061, 1056, 1179, 1063, 1062, 1065, 1204];9929,65;485,41198475;[2988, 3051, 2993, 2881, 2877, 2826, 2879, 2825];7,0
15.7.2022;4;28;[1213];922,0;47,373788;[2911];7,0
15.7.2022;4;28;[1045, 1187, 1151];11470,05;190,62726375000003;[2970, 2968, 3021, 2916, 2919, 3138, 3020, 3071];7,0
2022-07-18 00:00:00;0;29;1016;3044,0;130,76363999999998;2946;7,0
18.7.2022;0;29;[1133, 1016];22089,18;148,54006475;[3180, 3017, 3074];7,0
18.7.2022;0;29;[1177, 1091, 1236];7336,38;143,519992;[3005, 2978, 3238, 2974];7,0
18.7.2022;0;29;[1176, 1089, 1034, 1255, 1035];8278,380000000001;397,6676935;[3014, 3044, 3011, 3010, 2961, 3045, 2962];7,0
18.7.2022;0;29;[1063, 1062, 1372, 1204, 1065, 1123, 1115];20114,9;519,6696119999998;[3091, 2985, 3143, 3019, 2984, 3055, 3100, 2940, 3054, 3018];7,0
19.7.2022;1;29;[1041, 1076, 1126];5773,110000000001;277,930807;[3234, 3086, 3314, 3195, 3070, 3087];7,0
19.7.2022;1;29;[1179, 1053, 1067, 1062, 1068, 1313];13219,65;551,53021;[3050, 3303, 3093, 3032, 3048, 3146, 3034, 3308];7,0
20.7.2022;2;29;[1115, 1016];11274,32;237,35263475;[3227, 3116, 3226, 3115];7,0
20.7.2022;2;29;[1088, 1089, 1034, 1031, 1035, 1176];14176,27;340,01850575;[3167, 3166, 3392, 3168, 3081, 3242, 3248, 3240, 3082];7,0
20.7.2022;2;29;[1187, 1236, 1102];22509,61;416,91328525;[3157, 3243, 3348, 3159];7,0
2022-07-21 00:00:00;3;29;1371;3780,0;156,7518;3296;7,0
21.7.2022;3;29;[1371, 1067, 1068];9975,59;158,79640700000002;[3249, 3185, 3187];7,0
21.7.2022;3;29;[1084, 1082, 1123];5314,4;276,7043125;[3150, 3254, 3211, 3257, 3210];7,0
21.7.2022;3;29;[1056, 1062, 1204, 1179, 1065];12070,01;485,41198475;[3371, 3225, 3320, 3142, 3145, 3324, 3137];7,0
22.7.2022;4;29;[];0,0;47,373788;[];7,0
22.7.2022;4;29;[1151, 1045, 1187];6816,2;190,62726375000003;[3381, 3343, 3274, 3342, 3205];7,0
25.7.2022;0;30;[1133, 1016];17856,75;148,54006475;[3295, 3411, 3282];7,0
25.7.2022;0;30;[1177, 1236, 1091];5697,75;143,519992;[3425, 3270, 3390, 3299, 3269, 3340];7,0
25.7.2022;0;30;[1255, 1031, 1070, 1034, 1089];7233,360000000001;397,6676935;[3291, 3391, 3356, 3265, 3264, 3393];7,0
25.7.2022;0;30;[1123, 1063, 1204, 1065];2865,85;519,6696119999998;[3277, 3325, 3442, 3360, 3359];7,0
26.7.2022;1;30;[1076, 1084, 1126, 1041];11828,76;277,930807;[3628, 3401, 3439, 3540, 3374, 3423, 3470];7,0
26.7.2022;1;30;[1062, 1068, 1313];8073,8;551,53021;[3366, 3349, 3455, 3565];7,0
27.7.2022;2;30;[1115, 1016];10813,150000000001;237,35263475;[3458, 3450, 3525];7,0
27.7.2022;2;30;[1034, 1031, 1091, 1088, 1089];17102,72;340,01850575;[3428, 3559, 3498, 3413, 3668, 3503, 3430, 3502];7,0
27.7.2022;2;30;[1187, 1236, 1186, 1102, 1045, 1350];17427,3;416,91328525;[3405, 3408, 3546, 3560, 3491, 3403, 3409];7,0
28.7.2022;3;30;[1371, 1067, 1068];3813,04;158,79640700000002;[3475, 3483, 3482];7,0
28.7.2022;3;30;[1123];4162,5;276,7043125;[3520];7,0
28.7.2022;3;30;[1179, 1056, 1062];7925,68;485,41198475;[3596, 3505, 3646, 3506];7,0
29.7.2022;4;30;[1213];295,0;47,373788;[3626];7,0
29.7.2022;4;30;[1151, 1045, 1187];3047,29;190,62726375000003;[3790, 3568, 3547, 3569];7,0
1.8.2022;0;31;[1133];384,12;148,54006475;[3828, 3746];8,0
1.8.2022;0;31;[1177, 1091];1686,0;143,519992;[3642, 3611];8,0
1.8.2022;0;31;[1176, 1255, 1035, 1089, 1070, 1031];20192,15;397,6676935;[3664, 3620, 3645, 3696, 3669, 3657, 3618, 3665, 3777, 3667];8,0
1.8.2022;0;31;[1115, 1063, 1062, 1372, 1123, 1204, 1065];15458,7;519,6696119999998;[3601, 3649, 3600, 3595, 3598, 3748, 3640, 3650, 3639, 3636];8,0
2022-08-02 00:00:00;1;31;1126;3812,5;157,899375;3812;8,0
2.8.2022;1;31;[1213, 1084, 1041, 1076];11554,24;277,930807;[3756, 3753, 3789, 3675, 3674, 3911];8,0
2.8.2022;1;31;[1062, 1179, 1068];6670,5599999999995;551,53021;[3651, 3731, 3730, 3648, 3656];8,0
3.8.2022;2;31;[1115, 1016];18692,66;237,35263475;[3684, 3687, 3839, 3842];8,0
3.8.2022;2;31;[1088, 1089, 1031, 1091, 1034, 1176];15819,68;340,01850575;[3702, 3701, 3862, 3861, 3739, 3780, 3802, 3700, 3804, 3805, 3800];8,0
3.8.2022;2;31;[1186, 1236, 1350, 1187, 1045];10890,06;416,91328525;[3821, 3858, 3726, 3722, 3720, 3826, 3729];8,0
4.8.2022;3;31;[1067, 1068, 1371];2374,42;158,79640700000002;[3770, 3771, 3990];8,0
4.8.2022;3;31;[1084, 1123];3230,5;276,7043125;[3878, 3870];8,0
4.8.2022;3;31;[1061, 1062, 1063, 1204, 1065];22155,32;485,41198475;[3849, 3851, 3762, 3795, 3763, 3808, 3794, 3809];8,0
5.8.2022;4;31;[1213];6534,96;47,373788;[3863, 3890];8,0
5.8.2022;4;31;[1151, 1045];2653,83;190,62726375000003;[4062, 3954, 3822, 3901];8,0
8.8.2022;0;32;[1133];1761,8;148,54006475;[3988];8,0
8.8.2022;0;32;[1177, 1091];1763,5;143,519992;[3947, 3939];8,0
8.8.2022;0;32;[1034, 1031, 1070, 1255];6484,03;397,6676935;[3952, 3948, 4050, 3974, 3938];8,0
