MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
2-21028-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4384.11;0.36534249999999996;[1068, 1067, 1371, 0];[20, 19, 55, 0]
2-33392-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;8534.24;0.7111866666666666;[1050, 1070, 1255, 1034, 1089, 0];[11, 21, 50, 7, 27, 0]
2-37950-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;5498.4;0.2291;[1102, 1187, 1045, 1186, 1151, 0];[29, 42, 10, 41, 34, 0]
3-195-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;6737.0;0.28070833333333334;[1016, 1133, 0];[3, 33, 0]
3-35115-0;19;3;<attribute 'month' of 'datetime.date' objects>;0;9000;15172.75;1.685861111111111;[1236, 1177, 1001, 1091, 0];[49, 39, 1, 28, 0]
3-40348-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16086.119999999999;0.6702549999999999;[1204, 1065, 1056, 1179, 1061, 1062, 1015, 1123, 0];[45, 18, 13, 40, 14, 15, 2, 31, 0]
4-36837-2;19;4;<attribute 'month' of 'datetime.date' objects>;2;24000;7817.32;0.32572166666666663;[1034, 1089, 1088, 1035, 1176, 1031, 1164, 1210, 1074, 0];[7, 27, 26, 8, 38, 6, 35, 46, 22, 0]
0-46-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1213, 0];[47, 0]
0-910-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;7674.39;0.6395325000000001;[1067, 1068, 0];[19, 20, 0]
0-14083-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4289.92;0.35749333333333333;[1231, 1187, 1045, 0];[48, 42, 10, 0]
0-30104-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;10892.14;1.2102377777777777;[1084, 1076, 1126, 1041, 1273, 0];[25, 23, 32, 9, 51, 0]
0-36971-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10642.41;0.44343375;[1115, 1497, 1064, 1082, 1190, 1123, 0];[30, 57, 17, 24, 43, 31, 0]
