MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
3-5878-0;19;3;<attribute 'month' of 'datetime.date' objects>;0;9000;10743,78;1,1937533333333334;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;25246,21;1,0519254166666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;2475,75;0,2063125;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;9788,32;0,8156933333333333;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;19;4;<attribute 'month' of 'datetime.date' objects>;0;9000;7809,67;0,8677411111111111;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1317,0;0,054875;[1016, 1133, 0];[1, 26, 0]
0-3047-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;6718,04;0,5598366666666666;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;8950,39;0,7458658333333333;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;3509,6;0,38995555555555556;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;16240,0;1,8044444444444445;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;20;1;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1123, 0];[24, 0]
1-432-1;20;1;<attribute 'month' of 'datetime.date' objects>;1;12000;3359,0;0,27991666666666665;[1065, 1204, 0];[12, 33, 0]
1-1848-1;20;1;<attribute 'month' of 'datetime.date' objects>;1;12000;8801,69;0,7334741666666668;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;20;1;<attribute 'month' of 'datetime.date' objects>;0;9000;5074,58;0,5638422222222222;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;20;1;<attribute 'month' of 'datetime.date' objects>;0;9000;3796,4500000000003;0,4218277777777778;[1062, 1372, 1115, 0];[10, 40, 23, 0]
