;ID_Empfänger;lat;lon;avg_Gewicht;avg_Frequenz;Koordinaten;Distanz;Dauer;AF_Kosten
0;0;48.13635891257301;11.62868820669951;0.0;0.0;[11.62868820669951, 48.13635891257301];0.0;0.0;23.28
0;1016;48.4705256508735;11.968967912328598;16634.0;2.0;[11.968967912328598, 48.4705256508735];62.89076616245303;75.7445;610.62654
1;1062;48.838270806526005;12.4736837810935;2369.0;3.0;[12.4736837810935, 48.838270806526005];139.95382583774378;151.76666666666668;106.92939
2;1065;49.0294657403061;12.999065471302199;4351.0;2.0;[12.999065471302199, 49.0294657403061];198.40976159964183;196.697;176.91381
3;1068;48.216481709153996;12.411457498267698;8193.0;2.0;[12.411457498267698, 48.216481709153996];82.44950566218358;78.20666666666666;312.57483
4;1204;49.02334945292029;13.0034792289731;6841.0;2.0;[13.0034792289731, 49.02334945292029];198.07636984341414;196.4505;264.83571000000006
5;1236;47.7810449109206;11.676370213598402;5024.0;2.0;[11.676370213598402, 47.7810449109206];55.534308670690095;68.59200000000001;200.67744
