;ID_Empfänger;Frequenz;Nachfrage
0;997;2;3069
1;706;2;1175
2;1245;3;2750
3;1120;1;1606
4;1222;3;821
5;1297;3;2198
6;1300;2;726
7;1142;2;406
8;1024;2;697
9;1337;4;6720
10;1389;2;1071
11;1329;3;1152
12;1269;4;2983
13;1281;5;4879
14;1282;2;1288
15;1252;2;508
16;1284;5;7816
17;1226;3;1330
18;1273;3;3282
19;1208;2;810
20;1334;5;8420
21;1106;4;4014
22;1200;3;837
23;1223;3;1781
24;1299;2;424
25;902;2;922
26;1004;2;4012
27;1326;2;1324
28;1307;4;1799
29;1191;2;1138
30;1325;2;1052
31;1042;2;953
32;1015;1;419
33;1264;3;977
34;971;2;1491
35;1397;4;2231
36;1274;3;995
37;1186;2;2063
38;1331;2;2447
39;1101;2;1466
40;1116;3;204
41;1310;2;1884
42;1018;1;2662
43;1255;3;1763
44;1145;2;726
45;1137;3;475
46;1304;2;1675
47;1235;2;1678
48;1288;3;1842
49;1293;4;1804
50;1317;2;2800
51;1130;2;412
52;1328;2;1756
53;1292;3;1015
54;1250;3;948
55;1263;2;4383
56;1174;2;496
57;1197;2;465
58;1316;2;1577
59;1088;2;780
60;954;1;1654
61;1168;1;2148
62;1233;2;315
63;1021;2;331
64;1006;2;925
65;1318;2;648
66;1339;1;2565
67;1239;1;2575
68;1278;2;896
69;1178;1;6018
70;1221;1;327
71;1287;3;1904
72;1083;2;1081
73;1085;1;415
74;978;2;496
75;1019;3;1548
76;1209;1;585
77;1289;1;694
78;1036;2;1988
79;1125;2;391
80;1149;2;2614
