MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-44-2;25;0;<attribute 'month' of 'datetime.date' objects>;2;24000;14044.779999999999;0.5851991666666666;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;25;2;<attribute 'month' of 'datetime.date' objects>;0;9000;2708.0;0.3008888888888889;[1236, 0];[6, 0]
2-44-2;25;2;<attribute 'month' of 'datetime.date' objects>;2;24000;6509.96;0.2712483333333333;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;25;3;<attribute 'month' of 'datetime.date' objects>;2;24000;8581.5;0.3575625;[1062, 1016, 0];[2, 1, 0]
0-0-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;2304.0;0.096;[1016, 0];[1, 0]
0-5-0;26;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2092.0;0.23244444444444445;[1236, 0];[6, 0]
0-44-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;12213.74;0.5089058333333333;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;26;2;<attribute 'month' of 'datetime.date' objects>;0;9000;1999.56;0.22217333333333333;[1236, 0];[6, 0]
2-44-2;26;2;<attribute 'month' of 'datetime.date' objects>;2;24000;1224.0;0.051;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;26;3;<attribute 'month' of 'datetime.date' objects>;2;24000;134.51;0.005604583333333333;[1062, 1016, 0];[2, 1, 0]
0-0-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;19960.0;0.8316666666666667;[1016, 0];[1, 0]
0-5-0;27;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1236, 0];[6, 0]
0-44-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;21252.97;0.8855404166666667;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;27;2;<attribute 'month' of 'datetime.date' objects>;0;9000;11434.8;1.2705333333333333;[1236, 0];[6, 0]
2-44-2;27;2;<attribute 'month' of 'datetime.date' objects>;2;24000;10954.67;0.4564445833333333;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;27;3;<attribute 'month' of 'datetime.date' objects>;2;24000;10811.619999999999;0.45048416666666663;[1062, 1016, 0];[2, 1, 0]
0-0-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9229.82;0.38457583333333334;[1016, 0];[1, 0]
0-5-0;28;0;<attribute 'month' of 'datetime.date' objects>;0;9000;159.5;0.017722222222222223;[1236, 0];[6, 0]
0-44-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;14144.61;0.58935875;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;28;2;<attribute 'month' of 'datetime.date' objects>;0;9000;4719.0;0.5243333333333333;[1236, 0];[6, 0]
2-44-2;28;2;<attribute 'month' of 'datetime.date' objects>;2;24000;9063.93;0.37766375;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;28;3;<attribute 'month' of 'datetime.date' objects>;2;24000;1489.04;0.06204333333333333;[1062, 1016, 0];[2, 1, 0]
0-0-2;29;0;<attribute 'month' of 'datetime.date' objects>;2;24000;19208.0;0.8003333333333333;[1016, 0];[1, 0]
0-5-0;29;0;<attribute 'month' of 'datetime.date' objects>;0;9000;5120.0;0.5688888888888889;[1236, 0];[6, 0]
0-44-2;29;0;<attribute 'month' of 'datetime.date' objects>;2;24000;18366.510000000002;0.7652712500000001;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;29;2;<attribute 'month' of 'datetime.date' objects>;0;9000;1964.4;0.21826666666666666;[1236, 0];[6, 0]
2-44-2;29;2;<attribute 'month' of 'datetime.date' objects>;2;24000;15202.59;0.63344125;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;29;3;<attribute 'month' of 'datetime.date' objects>;2;24000;1935.01;0.08062541666666667;[1062, 1016, 0];[2, 1, 0]
