MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-479-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;7674,39;0,6395325000000001;[1067, 1068, 0];[13, 14, 0]
0-705-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;11632,0;1,2924444444444445;[1236, 1091, 0];[36, 21, 0]
0-9586-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;3102,14;0,3446822222222222;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-13591-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;16685,5;0,6952291666666667;[1102, 1187, 1045, 1231, 1186, 1350, 1315, 0];[22, 32, 6, 35, 31, 41, 40, 0]
0-14299-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;13265,05;0,5527104166666666;[1053, 1313, 1061, 1179, 1063, 1062, 1115, 1123, 0];[7, 39, 9, 30, 11, 10, 23, 24, 0]
0-14574-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;16021,060000000001;0,6675441666666667;[1255, 1034, 1088, 1089, 1035, 1176, 1031, 1177, 0];[37, 3, 19, 20, 4, 28, 2, 29, 0]
2-0-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;16243,27;0,6768029166666667;[1016, 0];[1, 0]
2-1629-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;3716,63;0,15485958333333333;[1035, 1031, 1176, 0];[4, 2, 28, 0]
2-2720-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4337,07;0,3614225;[1070, 1034, 1089, 0];[15, 3, 20, 0]
2-4373-0;20;2;<attribute 'month' of 'datetime.date' objects>;0;9000;6667,48;0,7408311111111111;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-5046-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;11964,380000000001;0,9970316666666668;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-8375-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;8205,71;0,6838091666666666;[1068, 1067, 1371, 0];[14, 13, 42, 0]
2-9900-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;7986,25;0,33276041666666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
2-14709-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;17740,61;0,7391920833333333;[1065, 1204, 1056, 1063, 1062, 1372, 1115, 1273, 0];[12, 33, 8, 11, 10, 43, 23, 38, 0]
3-705-0;20;3;<attribute 'month' of 'datetime.date' objects>;0;9000;183,0;0,02033333333333333;[1236, 1091, 0];[36, 21, 0]
3-6396-0;20;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2274,58;0,25273111111111113;[1179, 1062, 1061, 0];[30, 10, 9, 0]
4-468-1;20;4;<attribute 'month' of 'datetime.date' objects>;1;12000;13216,0;1,1013333333333333;[1065, 1204, 0];[12, 33, 0]
0-65-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5928,67;0,24702791666666668;[1016, 1133, 0];[1, 26, 0]
0-479-1;21;0;<attribute 'month' of 'datetime.date' objects>;1;12000;13242,439999999999;1,1035366666666666;[1067, 1068, 0];[13, 14, 0]
0-705-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2485,5;0,27616666666666667;[1236, 1091, 0];[36, 21, 0]
0-9586-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2794,48;0,31049777777777776;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-13591-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;15652,93;0,6522054166666666;[1102, 1187, 1045, 1231, 1186, 1350, 1315, 0];[22, 32, 6, 35, 31, 41, 40, 0]
