MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
2-4321-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;11964,380000000001;0,9970316666666668;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;8205,71;0,6838091666666666;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;8656,49;0,7213741666666666;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;8111,0;0,33795833333333336;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16899,489999999998;0,7041454166666666;[1115, 1016, 0];[23, 1, 0]
3-9225-0;20;3;<attribute 'month' of 'datetime.date' objects>;0;9000;183,0;0,02033333333333333;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;17749,58;0,7395658333333334;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;20;4;<attribute 'month' of 'datetime.date' objects>;2;24000;8228,77;0,3428654166666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2794,48;0,31049777777777776;[1213, 0];[34, 0]
0-62-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;11508,67;0,47952791666666666;[1016, 1133, 0];[1, 26, 0]
0-19025-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;6933,43;0,28889291666666667;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;15372,43;0,6405179166666667;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;23268,62;0,9695258333333333;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;21;1;<attribute 'month' of 'datetime.date' objects>;2;24000;9484,6;0,39519166666666666;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;1210,5;0,100875;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4441,5;0,370125;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;21;2;<attribute 'month' of 'datetime.date' objects>;2;24000;3874,0899999999997;0,16142041666666665;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;21;3;<attribute 'month' of 'datetime.date' objects>;2;24000;2648,55;0,11035625;[1115, 1016, 0];[23, 1, 0]
3-9225-0;21;3;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;21;3;<attribute 'month' of 'datetime.date' objects>;2;24000;870,0;0,03625;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;21;4;<attribute 'month' of 'datetime.date' objects>;2;24000;660,93;0,027538749999999997;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;22;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
0-62-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;16247,06;0,6769608333333333;[1016, 1133, 0];[1, 26, 0]
0-19025-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;13332,66;0,5555275;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;14307,699999999999;0,5961541666666667;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20135,85;0,83899375;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;22;1;<attribute 'month' of 'datetime.date' objects>;2;24000;7037,27;0,29321958333333337;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;10338,0;0,8615;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;2513,42;0,20945166666666667;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7798,38;0,649865;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;22;2;<attribute 'month' of 'datetime.date' objects>;2;24000;16276,03;0,6781679166666666;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;22;3;<attribute 'month' of 'datetime.date' objects>;2;24000;7924,0;0,33016666666666666;[1115, 1016, 0];[23, 1, 0]
3-9225-0;22;3;<attribute 'month' of 'datetime.date' objects>;0;9000;5313,57;0,5903966666666667;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;22;3;<attribute 'month' of 'datetime.date' objects>;2;24000;7813,45;0,3255604166666667;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;22;4;<attribute 'month' of 'datetime.date' objects>;2;24000;1526,08;0,06358666666666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;23;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
0-62-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;7217,88;0,300745;[1016, 1133, 0];[1, 26, 0]
0-19025-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;2071,2400000000002;0,08630166666666668;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;12951,38;0,5396408333333333;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9008,58;0,3753575;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;23;1;<attribute 'month' of 'datetime.date' objects>;2;24000;8485,67;0,3535695833333333;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6645,05;0,5537541666666667;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;2746,74;0,228895;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;8612,34;0,717695;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;23;2;<attribute 'month' of 'datetime.date' objects>;2;24000;10715,15;0,44646458333333333;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;23;3;<attribute 'month' of 'datetime.date' objects>;2;24000;17870,07;0,74458625;[1115, 1016, 0];[23, 1, 0]
3-9225-0;23;3;<attribute 'month' of 'datetime.date' objects>;0;9000;6601,3099999999995;0,7334788888888888;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;23;3;<attribute 'month' of 'datetime.date' objects>;2;24000;13688,52;0,5703550000000001;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;23;4;<attribute 'month' of 'datetime.date' objects>;2;24000;32476,800000000003;1,3532000000000002;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;24;0;<attribute 'month' of 'datetime.date' objects>;0;9000;434,08;0,04823111111111111;[1213, 0];[34, 0]
0-62-2;24;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10601,99;0,4417495833333333;[1016, 1133, 0];[1, 26, 0]
0-19025-2;24;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9316,3;0,38817916666666663;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;24;0;<attribute 'month' of 'datetime.date' objects>;2;24000;12069,32;0,5028883333333333;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;24;0;<attribute 'month' of 'datetime.date' objects>;2;24000;12945,800000000001;0,5394083333333334;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;24;1;<attribute 'month' of 'datetime.date' objects>;2;24000;13654,55;0,5689395833333333;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;24;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6042,0;0,5035;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;24;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;24;2;<attribute 'month' of 'datetime.date' objects>;1;12000;3342,08;0,2785066666666667;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;24;2;<attribute 'month' of 'datetime.date' objects>;2;24000;7476,66;0,3115275;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;24;3;<attribute 'month' of 'datetime.date' objects>;2;24000;7952,26;0,33134416666666666;[1115, 1016, 0];[23, 1, 0]
3-9225-0;24;3;<attribute 'month' of 'datetime.date' objects>;0;9000;231,72;0,025746666666666668;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;24;3;<attribute 'month' of 'datetime.date' objects>;2;24000;69,28;0,0028866666666666667;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;24;4;<attribute 'month' of 'datetime.date' objects>;2;24000;5875,4;0,24480833333333332;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;25;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2900,58;0,32228666666666667;[1213, 0];[34, 0]
0-62-2;25;0;<attribute 'month' of 'datetime.date' objects>;2;24000;26846,53;1,1186054166666666;[1016, 1133, 0];[1, 26, 0]
0-19025-2;25;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20562,440000000002;0,8567683333333335;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;25;0;<attribute 'month' of 'datetime.date' objects>;2;24000;31062,109999999997;1,2942545833333332;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;25;0;<attribute 'month' of 'datetime.date' objects>;2;24000;33520,53;1,39668875;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;25;1;<attribute 'month' of 'datetime.date' objects>;2;24000;11601,380000000001;0,4833908333333334;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;25;2;<attribute 'month' of 'datetime.date' objects>;1;12000;13627,960000000001;1,1356633333333335;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;25;2;<attribute 'month' of 'datetime.date' objects>;1;12000;12295,96;1,0246633333333333;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;25;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7975,61;0,6646341666666666;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;25;2;<attribute 'month' of 'datetime.date' objects>;2;24000;9205,04;0,38354333333333335;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;25;3;<attribute 'month' of 'datetime.date' objects>;2;24000;13614,8;0,5672833333333333;[1115, 1016, 0];[23, 1, 0]
3-9225-0;25;3;<attribute 'month' of 'datetime.date' objects>;0;9000;3033,04;0,33700444444444444;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;25;3;<attribute 'month' of 'datetime.date' objects>;2;24000;10545,17;0,43938208333333334;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;25;4;<attribute 'month' of 'datetime.date' objects>;2;24000;1968,55;0,08202291666666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;26;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1801,8;0,2002;[1213, 0];[34, 0]
0-62-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;2304,0;0,096;[1016, 1133, 0];[1, 26, 0]
0-19025-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20054,1;0,8355874999999999;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;13733,34;0,5722225;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;26;0;<attribute 'month' of 'datetime.date' objects>;2;24000;8300,74;0,34586416666666664;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;26;1;<attribute 'month' of 'datetime.date' objects>;2;24000;9086,41;0,37860041666666666;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;26;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;26;2;<attribute 'month' of 'datetime.date' objects>;1;12000;792,0;0,066;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;26;2;<attribute 'month' of 'datetime.date' objects>;1;12000;740,56;0,06171333333333333;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;26;2;<attribute 'month' of 'datetime.date' objects>;2;24000;13760,829999999998;0,5733679166666665;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;26;3;<attribute 'month' of 'datetime.date' objects>;2;24000;0,0;0,0;[1115, 1016, 0];[23, 1, 0]
3-9225-0;26;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2202,06;0,24467333333333333;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;26;3;<attribute 'month' of 'datetime.date' objects>;2;24000;4764,06;0,19850250000000003;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;26;4;<attribute 'month' of 'datetime.date' objects>;2;24000;5383,7300000000005;0,22432208333333337;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;27;0;<attribute 'month' of 'datetime.date' objects>;0;9000;785,0;0,08722222222222223;[1213, 0];[34, 0]
0-62-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;28208,440000000002;1,1753516666666668;[1016, 1133, 0];[1, 26, 0]
0-19025-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;12462,54;0,5192725;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;13003,789999999999;0,5418245833333333;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;27;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20783,73;0,86598875;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;27;1;<attribute 'month' of 'datetime.date' objects>;2;24000;20212,93;0,8422054166666667;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;27;2;<attribute 'month' of 'datetime.date' objects>;1;12000;10995,56;0,9162966666666666;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;27;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6969,67;0,5808058333333334;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;27;2;<attribute 'month' of 'datetime.date' objects>;1;12000;13330,329999999998;1,1108608333333332;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;27;2;<attribute 'month' of 'datetime.date' objects>;2;24000;18105,539999999997;0,7543974999999998;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;27;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16679,64;0,694985;[1115, 1016, 0];[23, 1, 0]
3-9225-0;27;3;<attribute 'month' of 'datetime.date' objects>;0;9000;11434,8;1,2705333333333333;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;27;3;<attribute 'month' of 'datetime.date' objects>;2;24000;11198,550000000001;0,46660625000000006;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;27;4;<attribute 'month' of 'datetime.date' objects>;2;24000;10382,3;0,4325958333333333;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;28;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
0-62-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;14923,07;0,6217945833333334;[1016, 1133, 0];[1, 26, 0]
0-19025-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10883,46;0,4534775;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;26041,969999999998;1,0850820833333332;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;28;0;<attribute 'month' of 'datetime.date' objects>;2;24000;16698,58;0,6957741666666667;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;28;1;<attribute 'month' of 'datetime.date' objects>;2;24000;10526,23;0,43859291666666667;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;28;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6365,59;0,5304658333333333;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;28;2;<attribute 'month' of 'datetime.date' objects>;1;12000;9611,5;0,8009583333333333;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;28;2;<attribute 'month' of 'datetime.date' objects>;1;12000;3969,48;0,33079000000000003;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;28;2;<attribute 'month' of 'datetime.date' objects>;2;24000;14073,489999999998;0,5863954166666666;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;28;3;<attribute 'month' of 'datetime.date' objects>;2;24000;2182,96;0,09095666666666667;[1115, 1016, 0];[23, 1, 0]
3-9225-0;28;3;<attribute 'month' of 'datetime.date' objects>;0;9000;5306,4400000000005;0,5896044444444445;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;28;3;<attribute 'month' of 'datetime.date' objects>;2;24000;9435,28;0,3931366666666667;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;28;4;<attribute 'month' of 'datetime.date' objects>;2;24000;13221,6;0,5509000000000001;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;29;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
0-62-2;29;0;<attribute 'month' of 'datetime.date' objects>;2;24000;33413,18;1,3922158333333334;[1016, 1133, 0];[1, 26, 0]
