ID_Empfänger;ID_Empfänger;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht
0;997;6137.784117647058;2.0;4327.645461797732;0.8944271909999159;0.705082710445142;0.4472135954999579;11334.29;102;313026.99
1;1291;2694.567864919735;1.5294117647058822;3425.6692565513467;1.4332193297115494;1.2713241708066574;0.9371049463498593;6546.29;78;137422.96111090647
2;1321;9516.516019607843;1.9607843137254901;10730.689645384888;1.3260585856397975;1.1275859383071871;0.6762898786762968;9868.28;100;485342.317
3;706;2810.853494545351;2.392156862745098;2666.6372997601034;1.342809463364762;0.948693094440849;0.561338382226253;10236.36;122;143353.5282218129
4;711;182.41402395711623;0.6470588235294118;342.0667735882846;0.6877071880317874;1.8752219054643584;1.0628201996854896;2017.6100000000001;33;9303.115221812928
5;1063;2249.7466078431376;1.5098039215686274;3963.912939063541;0.7313699206176815;1.7619375112043387;0.4844138435259968;4411.48;77;114737.077
6;1245;7602.611376898292;2.764705882352941;7914.907202444509;0.9713544212926124;1.0410774416926236;0.3513409608930726;10614.37;141;387733.1802218129
7;362;70.86364705882353;0.0784313725490196;268.08271652449537;0.2715243823233531;3.7830781740877852;3.4619358746227515;254.69;4;3614.0460000000003
8;1120;2330.5602156862747;1.4509803921568627;2423.9399548641577;0.7826551089770276;1.0400675076101331;0.5393974399706541;5169.28;74;118858.571
9;1050;250.6486274509804;0.5686274509803921;441.6924928371756;0.8545151130503033;1.7621979315388745;1.502767957433292;1576.12;29;12783.08
10;1222;2544.680747272676;3.0980392156862746;1634.1995064568944;0.9220607780571585;0.6422021733800548;0.2976272131703486;9326.0;158;129778.71811090647
11;1176;1052.4863921568626;0.5686274509803921;2286.215220089098;0.6404655169729065;2.172204065654428;1.1263359091592495;2114.67;29;53676.806
12;1297;7155.667078431373;3.2549019607843137;4974.841147467874;1.1805615147869586;0.6952309397488672;0.3627026340610535;12780.19;166;364939.021
13;1300;1310.4805969338404;1.803921568627451;1380.0864487790855;1.058671012980657;1.053114751952912;0.5868719745871033;4555.98;92;66834.51044362586
14;681;351.54288235294115;0.5490196078431373;601.6450998109981;0.6727176373545168;1.711441562360975;1.2253071251814414;1363.36;28;17928.686999999998
15;1169;2568.1096078431374;1.1372549019607843;3475.307554732675;0.8250965481236061;1.3532551508389319;0.7255159302466192;4592.4800000000005;58;130973.59
16;1142;621.1250065239096;1.5294117647058822;656.7944071443352;1.1550401062555464;1.0574270883409562;0.755218531013242;3450.64;78;31677.37533271939
17;1173;1465.6706514080968;2.0980392156862746;1882.9144636587748;1.3893149673243186;1.2846777424722424;0.6621968535844883;5010.0199999999995;107;74749.20322181293
18;1064;516.9683529411765;1.392156862745098;772.1706008402243;0.8961792537779263;1.4936515870790377;0.6437343935587921;3118.45;71;26365.386
19;1272;2110.7406274509804;1.2941176470588236;3451.677283481756;1.1540211028756593;1.6352920101083892;0.8917435794948276;4407.51;66;107647.772
20;1315;3099.6299019607845;1.5490196078431373;5682.253637484981;1.205217415907953;1.8332039040823753;0.7780517495101974;5572.51;79;158081.125
21;1184;613.5597494473124;1.411764705882353;1027.8598130203127;0.9203579866168445;1.6752399647242133;0.6519202405202649;3399.4700000000003;72;31291.54722181293
22;1024;1133.5866274509806;1.6274509803921569;1147.6544157743822;1.1306773954355944;1.012409980836696;0.6947535803278954;4906.21;83;57812.918
23;814;143.5289019607843;0.27450980392156865;437.9829508970985;0.4930894998901932;3.051531398301691;1.7962546067428464;787.1;14;7319.973999999999
24;402;26.01321568627451;0.09803921568627451;113.30099070552097;0.30032661958503204;4.355516521754078;3.0633315197673268;233.0;5;1326.674
25;1094;470.17194552574375;0.9411764705882353;749.0921953392481;0.8345481341632094;1.5932303117354591;0.88670739254841;2473.97;48;23978.76922181293
26;1337;28064.106531586396;4.176470588235294;11359.152794504636;0.841567165541555;0.40475732878649856;0.20150199738318922;35201.49;213;1431269.4331109065
27;1389;2646.8100021746363;2.4705882352941178;2244.516212866231;1.3468918468306292;0.8480080591436944;0.5451705094314452;11018.61;126;134987.31011090646
28;1329;3500.2588257040484;3.0392156862745097;2480.584877972073;1.3410560661467588;0.708686129081647;0.44125070563538515;13336.09;155;178513.20011090647
29;1269;11345.837901960782;3.803921568627451;6624.820104781793;1.058671012980657;0.5838987091148988;0.27831042093821395;23115.22;194;578637.733
30;973;62.88180827084174;0.2549019607843137;257.80229376754426;0.44014257939453943;4.099791352328;1.7267131960862703;440.51;13;3206.972221812929
31;1220;333.32723746875416;0.5686274509803921;812.3753857297024;0.728145643694565;2.437170727177235;1.2805319940835453;1430.6399999999999;29;16999.689110906464
32;227;5.040098039215686;0.0392156862745098;27.217788310040845;0.19603921176392136;5.400249776545286;4.998999899979995;118.9;2;257.045
33;1281;22770.557843137252;4.666666666666667;13167.264596507803;1.570562531918633;0.5782583231915086;0.33654911398256415;27690.11;238;1161298.45
34;1282;2550.395141604175;1.9803921568627452;2549.3136249433983;0.8121624487362458;0.9995759415303401;0.41010183054998545;8399.46;101;130070.15222181292
35;1067;4052.3292352941176;1.3529411764705883;4784.543446073573;0.9761870601839528;1.1806897140543695;0.7215295662229216;7547.75;69;206668.791
36;1026;2709.412470588236;1.6470588235294117;3101.311918166242;1.016337137209198;1.144643701109459;0.6170618333055845;7765.53;84;138180.036
37;1252;886.3246710159398;1.7450980392156863;791.7755665495298;0.716746461586019;0.8933245259234022;0.410719882481876;6199.84;89;45202.55822181293
